시도,시군구,발생건수,사망자수,부상자수,중상,경상,부상신고
서울,종로구,28,0,33,1,27,5
서울,중구,23,0,25,1,16,8
서울,용산구,34,0,39,6,25,8
서울,성동구,28,0,31,4,20,7
서울,동대문구,42,0,46,3,33,10
서울,성북구,64,0,82,16,57,9
서울,도봉구,34,0,38,2,29,7
서울,은평구,56,0,84,5,54,25
서울,서대문구,32,0,36,7,22,7
서울,마포구,45,0,50,7,37,6
서울,강서구,64,0,73,13,48,12
서울,구로구,63,0,77,12,52,13
서울,영등포구,85,0,96,13,71,12
서울,동작구,43,1,48,11,26,11
서울,관악구,35,0,37,8,26,3
서울,강남구,86,1,118,18,65,35
서울,강동구,58,0,64,4,43,17
서울,송파구,110,0,126,7,84,35
서울,서초구,77,0,95,9,73,13
서울,양천구,72,0,85,8,60,17
서울,중랑구,68,0,79,8,57,14
서울,노원구,73,0,87,9,62,16
서울,광진구,43,0,51,5,38,8
서울,강북구,42,0,52,3,44,5
서울,금천구,26,0,36,4,22,10
부산,중구,11,0,12,2,9,1
부산,서구,15,0,17,3,13,1
부산,동구,13,0,15,3,8,4
부산,영도구,14,0,17,5,11,1
부산,부산진구,51,0,58,13,41,4
부산,동래구,37,0,44,4,35,5
부산,남구,23,0,25,5,15,5
부산,북구,21,1,25,2,23,0
부산,해운대구,50,0,57,12,36,9
부산,사하구,26,0,30,9,21,0
부산,금정구,27,0,29,8,17,4
부산,강서구,29,0,35,7,25,3
부산,연제구,19,0,21,3,17,1
부산,수영구,24,0,30,2,21,7
부산,사상구,26,0,36,3,22,11
부산,기장군,25,0,26,5,19,2
경기,수원시,217,1,268,40,171,57
경기,성남시,168,1,200,29,145,26
경기,의정부시,91,0,110,22,54,34
경기,안양시,85,0,103,13,79,11
경기,부천시,162,0,200,14,145,41
경기,안산시,200,1,252,40,180,32
경기,평택시,181,0,235,23,150,62
경기,광명시,68,0,93,15,34,44
경기,구리시,34,2,35,4,25,6
경기,양주시,47,0,54,5,41,8
경기,여주시,21,1,24,6,16,2
경기,화성시,160,1,214,29,144,41
경기,시흥시,116,2,148,12,107,29
경기,파주시,114,0,144,18,103,23
경기,고양시,181,0,220,30,159,31
경기,광주시,105,0,133,20,88,25
경기,연천군,6,1,6,1,5,0
경기,포천시,37,0,51,6,24,21
경기,가평군,16,0,24,4,15,5
경기,양평군,22,0,31,7,23,1
경기,이천시,45,0,58,7,44,7
경기,용인시,188,1,240,28,153,59
경기,안성시,64,1,88,6,63,19
경기,김포시,107,1,149,14,100,35
경기,동두천시,22,0,26,5,16,5
경기,과천시,22,0,29,1,17,11
경기,군포시,41,0,53,10,36,7
경기,남양주시,192,0,262,24,195,43
경기,오산시,49,0,61,8,33,20
경기,의왕시,23,1,25,1,19,5
경기,하남시,51,0,62,4,42,16
강원,춘천시,76,0,97,12,80,5
강원,원주시,95,0,111,12,83,16
강원,동해시,23,0,27,4,23,0
강원,강릉시,47,1,57,8,46,3
강원,속초시,27,0,35,6,26,3
강원,태백시,18,0,25,3,18,4
강원,삼척시,13,0,18,3,15,0
강원,홍천군,12,1,15,6,8,1
강원,횡성군,5,0,6,0,6,0
강원,영월군,9,0,10,1,3,6
강원,평창군,13,0,23,5,12,6
강원,정선군,4,0,5,2,3,0
강원,철원군,8,0,9,4,5,0
강원,화천군,5,0,5,1,4,0
강원,양구군,3,0,6,0,5,1
강원,인제군,6,0,6,3,3,0
강원,고성군,6,0,8,1,7,0
강원,양양군,11,0,20,3,17,0
