기관규모,대분류,소분류,연도,매출액,연구개발비
100억 원 미만,감축,비재생에너지,2019,140263.0,119709.0
100억 원 미만,감축,비재생에너지,2020,133160.0,113292.0
100억 원 이상 500억 원 미만,감축,비재생에너지,2020,32228.0,119709.0
"500억 원 이상 1,000억 원 미만",감축,비재생에너지,2020,20708.0,113292.0
"1,000억 원 이상 2,000억 원 미만",감축,비재생에너지,2020,120061.0,893335.0
100억 원 이상 600억 원 미만,감축,비재생에너지,2019,240829.0,942395.0
"600억 원 이상 2,000억 원 미만",감축,비재생에너지,2019,228645.0,711650.0
"2,000억 원 이상",감축,비재생에너지,2019,1360490.0,609393.0
"2,000억 원 이상",감축,비재생에너지,2020,438019.0,8581.0
기타(공공기관),감축,비재생에너지,2019,8476319.0,4011.0
기타(공공기관),감축,비재생에너지,2020,5342661.0,264361.0
100억 원 미만,감축,재생에너지,2019,1742743.0,16878.0
100억 원 미만,감축,재생에너지,2020,2060838.0,39397.0
100억 원 이상 500억 원 미만,감축,재생에너지,2020,2054328.0,36663.0
"500억 원 이상 1,000억 원 미만",감축,재생에너지,2020,2218334.0,51398.0
"1,000억 원 이상 2,000억 원 미만",감축,재생에너지,2020,1500651.0,40181.0
100억 원 이상 600억 원 미만,감축,재생에너지,2019,2668879.0,287370.0
"600억 원 이상 2,000억 원 미만",감축,재생에너지,2019,3303267.0,260208.0
"2,000억 원 이상",감축,재생에너지,2019,8381834.0,4187.0
"2,000억 원 이상",감축,재생에너지,2020,11912757.0,644.0
기타(공공기관),감축,재생에너지,2019,508505.0,135291.0
기타(공공기관),감축,재생에너지,2020,663568.0,284595.0
100억 원 미만,감축,신에너지,2019,137044.0,73334.0
100억 원 미만,감축,신에너지,2020,296519.0,99652.0
100억 원 이상 500억 원 미만,감축,신에너지,2020,272573.0,19374.0
"500억 원 이상 1,000억 원 미만",감축,신에너지,2020,322581.0,481.0
"1,000억 원 이상 2,000억 원 미만",감축,신에너지,2020,142135.0,42276.0
100억 원 이상 600억 원 미만,감축,신에너지,2019,226848.0,938.0
"600억 원 이상 2,000억 원 미만",감축,신에너지,2019,27375.0,46394.0
"2,000억 원 이상",감축,신에너지,2019,11365085.0,48407.0
"2,000억 원 이상",감축,신에너지,2020,10500674.0,46394.0
기타(공공기관),감축,신에너지,2019,0.0,48407.0
기타(공공기관),감축,신에너지,2020,4974.0,535934.0
100억 원 미만,감축,에너지저장,2019,442886.0,57895.0
100억 원 미만,감축,에너지저장,2020,419886.0,23913.0
100억 원 이상 500억 원 미만,감축,에너지저장,2020,652848.0,53476.0
"500억 원 이상 1,000억 원 미만",감축,에너지저장,2020,936370.0,80978.0
"1,000억 원 이상 2,000억 원 미만",감축,에너지저장,2020,604347.0,233190.0
100억 원 이상 600억 원 미만,감축,에너지저장,2019,1647673.0,1692.0
"600억 원 이상 2,000억 원 미만",감축,에너지저장,2019,1756739.0,61835.0
"2,000억 원 이상",감축,에너지저장,2019,50634424.0,4242.0
"2,000억 원 이상",감축,에너지저장,2020,40476074.0,25282.0
기타(공공기관),감축,에너지저장,2019,232571.0,0.0
기타(공공기관),감축,에너지저장,2020,234148.0,13.0
100억 원 미만,감축,송배전&전력IT,2019,446735.0,9814.0
100억 원 미만,감축,송배전&전력IT,2020,842601.0,9814.0
100억 원 이상 500억 원 미만,감축,송배전&전력IT,2020,760353.0,235295.0
"500억 원 이상 1,000억 원 미만",감축,송배전&전력IT,2020,750664.0,217448.0
"1,000억 원 이상 2,000억 원 미만",감축,송배전&전력IT,2020,1387672.0,4798.0
100억 원 이상 600억 원 미만,감축,송배전&전력IT,2019,455301.0,50559.0
"600억 원 이상 2,000억 원 미만",감축,송배전&전력IT,2019,640204.0,21214.0
"2,000억 원 이상",감축,송배전&전력IT,2019,11473067.0,30199.0
"2,000억 원 이상",감축,송배전&전력IT,2020,4321620.0,61065.0
기타(공공기관),감축,송배전&전력IT,2019,645451.0,49613.0
기타(공공기관),감축,송배전&전력IT,2020,2278682.0,
100억 원 미만,감축,에너지수요,2019,2502351.0,13795.0
100억 원 미만,감축,에너지수요,2020,1996698.0,
100억 원 이상 500억 원 미만,감축,에너지수요,2020,4212422.0,100.0
