"기후기술분류별(1)","기후기술분류별(2)","기술수명주기단계별(1)",시점,데이터
"합계","소계","합계",2019 p),7379
"합계","소계","합계",2020,7604
"합계","소계","기술개발기",2019 p),478
"합계","소계","기술개발기",2020,585
"합계","소계","기술도입기",2019 p),302
"합계","소계","기술도입기",2020,1533
"합계","소계","기술성장기",2019 p),5562
"합계","소계","기술성장기",2020,4619
"합계","소계","기술성숙기",2019 p),1019
"합계","소계","기술성숙기",2020,851
"합계","소계","기술쇠퇴기",2019 p),19
"합계","소계","기술쇠퇴기",2020,15
"감축","소계","합계",2019 p),6163
"감축","소계","합계",2020,6012
"감축","소계","기술개발기",2019 p),352
"감축","소계","기술개발기",2020,431
"감축","소계","기술도입기",2019 p),227
"감축","소계","기술도입기",2020,1181
"감축","소계","기술성장기",2019 p),4704
"감축","소계","기술성장기",2020,3686
"감축","소계","기술성숙기",2019 p),868
"감축","소계","기술성숙기",2020,707
"감축","소계","기술쇠퇴기",2019 p),12
"감축","소계","기술쇠퇴기",2020,8
"감축","비재생에너지","합계",2019 p),84
"감축","비재생에너지","합계",2020,78
"감축","비재생에너지","기술개발기",2019 p),7
"감축","비재생에너지","기술개발기",2020,34
"감축","비재생에너지","기술도입기",2019 p),2
"감축","비재생에너지","기술도입기",2020,20
"감축","비재생에너지","기술성장기",2019 p),57
"감축","비재생에너지","기술성장기",2020,18
"감축","비재생에너지","기술성숙기",2019 p),17
"감축","비재생에너지","기술성숙기",2020,7
"감축","비재생에너지","기술쇠퇴기",2019 p),2
"감축","비재생에너지","기술쇠퇴기",2020,0
"감축","재생에너지","합계",2019 p),2113
"감축","재생에너지","합계",2020,2064
"감축","재생에너지","기술개발기",2019 p),75
"감축","재생에너지","기술개발기",2020,105
"감축","재생에너지","기술도입기",2019 p),66
"감축","재생에너지","기술도입기",2020,282
"감축","재생에너지","기술성장기",2019 p),1780
"감축","재생에너지","기술성장기",2020,1518
"감축","재생에너지","기술성숙기",2019 p),187
