"기후기술분류별(1)","기후기술분류별(2)","매출규모별(1)",시점,데이터
"합계","소계","전체",2019 p),170312
"합계","소계","전체",2020,180951
"합계","소계","100억 원 미만",2019 p),25760
"합계","소계","100억 원 미만",2020,26208
"합계","소계","100억 원 이상 500억 원 미만",2020,24377
"합계","소계","500억 원 이상  1,000억 원 미만",2020,11444
"합계","소계","1,000억 원 이상 2,000억 원 미만",2020,14033
"합계","소계","100억 원 이상 600억 원 미만",2019 p),18877
"합계","소계","600억 원 이상 2,000억 원 미만",2019 p),20623
"합계","소계","2,000억 원 이상",2019 p),73086
"합계","소계","2,000억 원 이상",2020,81985
"합계","소계","기타(공공기관)",2019 p),31968
"합계","소계","기타(공공기관)",2020,22904
"감축","소계","전체",2019 p),144908
"감축","소계","전체",2020,155041
"감축","소계","100억 원 미만",2019 p),20505
"감축","소계","100억 원 미만",2020,19945
"감축","소계","100억 원 이상 500억 원 미만",2020,19910
"감축","소계","500억 원 이상  1,000억 원 미만",2020,10055
"감축","소계","1,000억 원 이상 2,000억 원 미만",2020,11663
"감축","소계","100억 원 이상 600억 원 미만",2019 p),16635
"감축","소계","600억 원 이상 2,000억 원 미만",2019 p),19165
"감축","소계","2,000억 원 이상",2019 p),65950
"감축","소계","2,000억 원 이상",2020,74224
"감축","소계","기타(공공기관)",2019 p),22653
"감축","소계","기타(공공기관)",2020,19244
"감축","비재생에너지","전체",2019 p),7414
"감축","비재생에너지","전체",2020,7975
"감축","비재생에너지","100억 원 미만",2019 p),816
"감축","비재생에너지","100억 원 미만",2020,418
"감축","비재생에너지","100억 원 이상 500억 원 미만",2020,194
"감축","비재생에너지","500억 원 이상  1,000억 원 미만",2020,98
"감축","비재생에너지","1,000억 원 이상 2,000억 원 미만",2020,20
"감축","비재생에너지","100억 원 이상 600억 원 미만",2019 p),839
"감축","비재생에너지","600억 원 이상 2,000억 원 미만",2019 p),739
"감축","비재생에너지","2,000억 원 이상",2019 p),3548
"감축","비재생에너지","2,000억 원 이상",2020,1248
"감축","비재생에너지","기타(공공기관)",2019 p),1472
"감축","비재생에너지","기타(공공기관)",2020,5997
"감축","재생에너지","전체",2019 p),24425
"감축","재생에너지","전체",2020,29368
"감축","재생에너지","100억 원 미만",2019 p),6043
"감축","재생에너지","100억 원 미만",2020,5512
"감축","재생에너지","100억 원 이상 500억 원 미만",2020,3744
"감축","재생에너지","500억 원 이상  1,000억 원 미만",2020,3752
"감축","재생에너지","1,000억 원 이상 2,000억 원 미만",2020,2036
"감축","재생에너지","100억 원 이상 600억 원 미만",2019 p),3936
"감축","재생에너지","600억 원 이상 2,000억 원 미만",2019 p),5772
"감축","재생에너지","2,000억 원 이상",2019 p),6066
"감축","재생에너지","2,000억 원 이상",2020,11513
"감축","재생에너지","기타(공공기관)",2019 p),2609
