"기후기술분류별(1)","기후기술분류별(2)","매출규모별(1)",시점,데이터
"합계","소계","전체",2019 p),56520
"합계","소계","전체",2020,58312
"합계","소계","100억 원 미만",2019 p),10723
"합계","소계","100억 원 미만",2020,9174
"합계","소계","100억 원 이상 500억 원 미만",2020,6371
"합계","소계","500억원 이상  1,000억 원 미만",2020,2620
"합계","소계","1,000억 원 이상 2,000억 원 미만",2020,3600
"합계","소계","100억 원 이상 600억 원 미만",2019 p),6528
"합계","소계","600억 원 이상 2,000억 원 미만",2019 p),7576
"합계","소계","2,000억 원 이상",2019 p),19354
"합계","소계","2,000억 원 이상",2020,28286
"합계","소계","기타(공공기관)",2019 p),12338
"합계","소계","기타(공공기관)",2020,8262
"감축","소계","전체",2019 p),48985
"감축","소계","전체",2020,51217
"감축","소계","100억 원 미만",2019 p),8868
"감축","소계","100억 원 미만",2020,7235
"감축","소계","100억 원 이상 500억 원 미만",2020,5084
"감축","소계","500억원 이상  1,000억 원 미만",2020,2280
"감축","소계","1,000억 원 이상 2,000억 원 미만",2020,3163
"감축","소계","100억 원 이상 600억 원 미만",2019 p),5643
"감축","소계","600억 원 이상 2,000억 원 미만",2019 p),7064
"감축","소계","2,000억 원 이상",2019 p),18218
"감축","소계","2,000억 원 이상",2020,26263
"감축","소계","기타(공공기관)",2019 p),9191
"감축","소계","기타(공공기관)",2020,7191
"감축","비재생에너지","전체",2019 p),1902
"감축","비재생에너지","전체",2020,3801
"감축","비재생에너지","100억 원 미만",2019 p),272
"감축","비재생에너지","100억 원 미만",2020,106
"감축","비재생에너지","100억 원 이상 500억 원 미만",2020,9
"감축","비재생에너지","500억원 이상  1,000억 원 미만",2020,10
"감축","비재생에너지","1,000억 원 이상 2,000억 원 미만",2020,8
"감축","비재생에너지","100억 원 이상 600억 원 미만",2019 p),112
"감축","비재생에너지","600억 원 이상 2,000억 원 미만",2019 p),70
"감축","비재생에너지","2,000억 원 이상",2019 p),260
"감축","비재생에너지","2,000억 원 이상",2020,556
"감축","비재생에너지","기타(공공기관)",2019 p),1189
"감축","비재생에너지","기타(공공기관)",2020,3112
"감축","재생에너지","전체",2019 p),9044
"감축","재생에너지","전체",2020,9057
"감축","재생에너지","100억 원 미만",2019 p),2652
"감축","재생에너지","100억 원 미만",2020,1946
"감축","재생에너지","100억 원 이상 500억 원 미만",2020,1321
"감축","재생에너지","500억원 이상  1,000억 원 미만",2020,798
"감축","재생에너지","1,000억 원 이상 2,000억 원 미만",2020,335
"감축","재생에너지","100억 원 이상 600억 원 미만",2019 p),1748
"감축","재생에너지","600억 원 이상 2,000억 원 미만",2019 p),2778
"감축","재생에너지","2,000억 원 이상",2019 p),996
"감축","재생에너지","2,000억 원 이상",2020,3674
"감축","재생에너지","기타(공공기관)",2019 p),869
"감축","재생에너지","기타(공공기관)",2020,983
"감축","신에너지","전체",2019 p),1296
"감축","신에너지","전체",2020,2035
"감축","신에너지","100억 원 미만",2019 p),601
"감축","신에너지","100억 원 미만",2020,474
"감축","신에너지","100억 원 이상 500억 원 미만",2020,144
"감축","신에너지","500억원 이상  1,000억 원 미만",2020,115
"감축","신에너지","1,000억 원 이상 2,000억 원 미만",2020,39
"감축","신에너지","100억 원 이상 600억 원 미만",2019 p),96
"감축","신에너지","600억 원 이상 2,000억 원 미만",2019 p),48
"감축","신에너지","2,000억 원 이상",2019 p),550
"감축","신에너지","2,000억 원 이상",2020,1208
"감축","신에너지","기타(공공기관)",2019 p),1
"감축","신에너지","기타(공공기관)",2020,55
"감축","에너지저장","전체",2019 p),11414
"감축","에너지저장","전체",2020,10172
"감축","에너지저장","100억 원 미만",2019 p),584
"감축","에너지저장","100억 원 미만",2020,518
"감축","에너지저장","100억 원 이상 500억 원 미만",2020,426
"감축","에너지저장","500억원 이상  1,000억 원 미만",2020,282
"감축","에너지저장","1,000억 원 이상 2,000억 원 미만",2020,363
"감축","에너지저장","100억 원 이상 600억 원 미만",2019 p),1004
"감축","에너지저장","600억 원 이상 2,000억 원 미만",2019 p),707
"감축","에너지저장","2,000억 원 이상",2019 p),8095
"감축","에너지저장","2,000억 원 이상",2020,8097
"감축","에너지저장","기타(공공기관)",2019 p),1025
"감축","에너지저장","기타(공공기관)",2020,485
"감축","송배전&전력IT","전체",2019 p),2832
"감축","송배전&전력IT","전체",2020,3579
"감축","송배전&전력IT","100억 원 미만",2019 p),1038
"감축","송배전&전력IT","100억 원 미만",2020,1304
"감축","송배전&전력IT","100억 원 이상 500억 원 미만",2020,554
"감축","송배전&전력IT","500억원 이상  1,000억 원 미만",2020,279
"감축","송배전&전력IT","1,000억 원 이상 2,000억 원 미만",2020,713
"감축","송배전&전력IT","100억 원 이상 600억 원 미만",2019 p),514
"감축","송배전&전력IT","600억 원 이상 2,000억 원 미만",2019 p),804
"감축","송배전&전력IT","2,000억 원 이상",2019 p),324
"감축","송배전&전력IT","2,000억 원 이상",2020,516
"감축","송배전&전력IT","기타(공공기관)",2019 p),152
"감축","송배전&전력IT","기타(공공기관)",2020,212
"감축","에너지수요","전체",2019 p),22394
"감축","에너지수요","전체",2020,22462
"감축","에너지수요","100억 원 미만",2019 p),3676
"감축","에너지수요","100억 원 미만",2020,2881
"감축","에너지수요","100억 원 이상 500억 원 미만",2020,2622
"감축","에너지수요","500억원 이상  1,000억 원 미만",2020,796
"감축","에너지수요","1,000억 원 이상 2,000억 원 미만",2020,1698
"감축","에너지수요","100억 원 이상 600억 원 미만",2019 p),2150
"감축","에너지수요","600억 원 이상 2,000억 원 미만",2019 p),2623
"감축","에너지수요","2,000억 원 이상",2019 p),7993
"감축","에너지수요","2,000억 원 이상",2020,12125
