"기후기술분류별(1)","기후기술분류별(2)","매출규모별(1)",시점,데이터
"합계","소계","전체",2019 p),32748715
"합계","소계","전체",2020,32189349
"합계","소계","100억 원 미만",2019 p),886101
"합계","소계","100억 원 미만",2020,868857
"합계","소계","100억 원 이상 500억 원 미만",2020,1691833
"합계","소계","500억원 이상  1,000억원 미만",2020,1985128
"합계","소계","1,000억 원 이상 2,000억 원 미만",2020,2272069
"합계","소계","100억 원 이상 600억 원 미만",2019 p),2032003
"합계","소계","600억 원 이상 2,000억 원 미만",2019 p),4451698
"합계","소계","2,000억 원 이상",2019 p),25378914
"합계","소계","2,000억 원 이상",2020,25186879
"합계","소계","기타(공공기관)",2020,184583
"감축","소계","전체",2019 p),30612616
"감축","소계","전체",2020,30245455
"감축","소계","100억 원 미만",2019 p),717132
"감축","소계","100억 원 미만",2020,665692
"감축","소계","100억 원 이상 500억 원 미만",2020,1544791
"감축","소계","500억원 이상  1,000억원 미만",2020,1888987
"감축","소계","1,000억 원 이상 2,000억 원 미만",2020,2195955
"감축","소계","100억 원 이상 600억 원 미만",2019 p),1913510
"감축","소계","600억 원 이상 2,000억 원 미만",2019 p),4329940
"감축","소계","2,000억 원 이상",2019 p),23652034
"감축","소계","2,000억 원 이상",2020,23765446
"감축","소계","기타(공공기관)",2020,184583
"감축","비재생에너지","전체",2019 p),128262
"감축","비재생에너지","전체",2020,50739
"감축","비재생에너지","100억 원 미만",2019 p),21540
"감축","비재생에너지","100억 원 미만",2020,8927
"감축","비재생에너지","100억 원 이상 500억 원 미만",2020,809
"감축","비재생에너지","500억원 이상  1,000억원 미만",2020,254
"감축","비재생에너지","1,000억 원 이상 2,000억 원 미만",2020,21752
"감축","비재생에너지","100억 원 이상 600억 원 미만",2019 p),16301
"감축","비재생에너지","600억 원 이상 2,000억 원 미만",2019 p),26864
"감축","비재생에너지","2,000억 원 이상",2019 p),63557
"감축","비재생에너지","2,000억 원 이상",2020,18998
"감축","비재생에너지","기타(공공기관)",2020,0
"감축","재생에너지","전체",2019 p),2718478
"감축","재생에너지","전체",2020,3195493
"감축","재생에너지","100억 원 미만",2019 p),250764
"감축","재생에너지","100억 원 미만",2020,197428
"감축","재생에너지","100억 원 이상 500억 원 미만",2020,385003
"감축","재생에너지","500억원 이상  1,000억원 미만",2020,715065
"감축","재생에너지","1,000억 원 이상 2,000억 원 미만",2020,137215
"감축","재생에너지","100억 원 이상 600억 원 미만",2019 p),546339
"감축","재생에너지","600억 원 이상 2,000억 원 미만",2019 p),377333
"감축","재생에너지","2,000억 원 이상",2019 p),1544041
"감축","재생에너지","2,000억 원 이상",2020,1746450
"감축","재생에너지","기타(공공기관)",2020,14332
"감축","신에너지","전체",2019 p),188219
"감축","신에너지","전체",2020,3307693
"감축","신에너지","100억 원 미만",2019 p),55785
"감축","신에너지","100억 원 미만",2020,84169
"감축","신에너지","100억 원 이상 500억 원 미만",2020,86642
"감축","신에너지","500억원 이상  1,000억원 미만",2020,229540
"감축","신에너지","1,000억 원 이상 2,000억 원 미만",2020,127922
"감축","신에너지","100억 원 이상 600억 원 미만",2019 p),70661
"감축","신에너지","600억 원 이상 2,000억 원 미만",2019 p),0
"감축","신에너지","2,000억 원 이상",2019 p),61773
"감축","신에너지","2,000억 원 이상",2020,2779420
"감축","신에너지","기타(공공기관)",2020,0
"감축","에너지저장","전체",2019 p),10847569
"감축","에너지저장","전체",2020,11797386
"감축","에너지저장","100억 원 미만",2019 p),69051
"감축","에너지저장","100억 원 미만",2020,89633
"감축","에너지저장","100억 원 이상 500억 원 미만",2020,254089
"감축","에너지저장","500억원 이상  1,000억원 미만",2020,278135
"감축","에너지저장","1,000억 원 이상 2,000억 원 미만",2020,198539
"감축","에너지저장","100억 원 이상 600억 원 미만",2019 p),500251
"감축","에너지저장","600억 원 이상 2,000억 원 미만",2019 p),699095
"감축","에너지저장","2,000억 원 이상",2019 p),9579172
"감축","에너지저장","2,000억 원 이상",2020,10976990
