"매출규모별(1)","기후기술분류별(1)","기후기술분류별(2)",시점,데이터
"전체","합계","소계",2019 p),8205879
"전체","합계","소계",2020,7291494
"전체","감축","소계",2019 p),7124321
"전체","감축","소계",2020,6202665
"전체","감축","비재생에너지",2019 p),197099
"전체","감축","비재생에너지",2020,91636
"전체","감축","재생에너지",2019 p),1451153
"전체","감축","재생에너지",2020,1423082
"전체","감축","신에너지",2019 p),98358
"전체","감축","신에너지",2020,185296
"전체","감축","에너지저장",2019 p),2286649
"전체","감축","에너지저장",2020,1897342
"전체","감축","송배전&전력IT",2019 p),190935
"전체","감축","송배전&전력IT",2020,563519
"전체","감축","에너지수요",2019 p),2891118
"전체","감축","에너지수요",2020,2028958
"전체","감축","온실가스 고정",2019 p),9010
"전체","감축","온실가스 고정",2020,12833
"전체","적응","소계",2019 p),961849
"전체","적응","소계",2020,975537
"전체","적응","농업&축산",2019 p),646582
"전체","적응","농업&축산",2020,597242
"전체","적응","물관리",2019 p),315267
"전체","적응","물관리",2020,282765
"전체","적응","예측?모니터링",2020,19374
"전체","적응","해양수산연안",2020,594
"전체","적응","건강",2020,74424
"전체","적응","산림육상",2020,1138
"전체","융복합","소계",2019 p),119709
"전체","융복합","소계",2020,113292
"전체","융복합","감축 및 적응 융복합",2019 p),119709
"전체","융복합","감축 및 적응 융복합",2020,113292
"100억 원 미만","합계","소계",2019 p),893335
"100억 원 미만","합계","소계",2020,942395
"100억 원 미만","감축","소계",2019 p),711650
"100억 원 미만","감축","소계",2020,609393
"100억 원 미만","감축","비재생에너지",2019 p),8581
"100억 원 미만","감축","비재생에너지",2020,4011
"100억 원 미만","감축","재생에너지",2019 p),264361
"100억 원 미만","감축","재생에너지",2020,250806
"100억 원 미만","감축","신에너지",2019 p),56356
"100억 원 미만","감축","신에너지",2020,16878
"100억 원 미만","감축","에너지저장",2019 p),39397
"100억 원 미만","감축","에너지저장",2020,36663
"100억 원 미만","감축","송배전&전력IT",2019 p),51398
"100억 원 미만","감축","송배전&전력IT",2020,40181
"100억 원 미만","감축","에너지수요",2019 p),287370
"100억 원 미만","감축","에너지수요",2020,260208
"100억 원 미만","감축","온실가스 고정",2019 p),4187
"100억 원 미만","감축","온실가스 고정",2020,644
"100억 원 미만","적응","소계",2019 p),135291
"100억 원 미만","적응","소계",2020,284595
"100억 원 미만","적응","농업&축산",2019 p),61957
"100억 원 미만","적응","농업&축산",2020,121874
"100억 원 미만","적응","물관리",2019 p),73334
"100억 원 미만","적응","물관리",2020,99652
"100억 원 미만","적응","예측?모니터링",2020,19374
"100억 원 미만","적응","해양수산연안",2020,481
"100억 원 미만","적응","건강",2020,42276
"100억 원 미만","적응","산림육상",2020,938
"100억 원 미만","융복합","소계",2019 p),46394
"100억 원 미만","융복합","소계",2020,48407
"100억 원 미만","융복합","감축 및 적응 융복합",2019 p),46394
"100억 원 미만","융복합","감축 및 적응 융복합",2020,48407
"100억 원 이상 500억 원 미만","합계","소계",2020,535934
"100억 원 이상 500억 원 미만","감축","소계",2020,464285
"100억 원 이상 500억 원 미만","감축","비재생에너지",2020,13140
"100억 원 이상 500억 원 미만","감축","재생에너지",2020,57895
"100억 원 이상 500억 원 미만","감축","신에너지",2020,23913
"100억 원 이상 500억 원 미만","감축","에너지저장",2020,53476
"100억 원 이상 500억 원 미만","감축","송배전&전력IT",2020,80978
"100억 원 이상 500억 원 미만","감축","에너지수요",2020,233190
"100억 원 이상 500억 원 미만","감축","온실가스 고정",2020,1692
"100억 원 이상 500억 원 미만","적응","소계",2020,61835
