"기후기술분류별(1)","기후기술분류별(2)","기업규모별(1)",시점,데이터
"합계","소계","전체",2012,171620677
"합계","소계","전체",2013,167827935
"합계","소계","전체",2014,163626749
"합계","소계","전체",2015,156378131
"합계","소계","전체",2016,159556972
"합계","소계","전체",2017,171382539
"합계","소계","전체",2018,175744577
"합계","소계","대기업",2012,106657917
"합계","소계","대기업",2013,104108971
"합계","소계","대기업",2014,101333626
"합계","소계","대기업",2015,94077423
"합계","소계","대기업",2016,96142879
"합계","소계","대기업",2017,104736702
"합계","소계","대기업",2018,110213771
"합계","소계","중견기업",2012,48287773
"합계","소계","중견기업",2013,46611655
"합계","소계","중견기업",2014,44839224
"합계","소계","중견기업",2015,44241910
"합계","소계","중견기업",2016,44334806
"합계","소계","중견기업",2017,45671047
"합계","소계","중견기업",2018,44504180
"합계","소계","중소기업",2012,16674988
"합계","소계","중소기업",2013,17107309
"합계","소계","중소기업",2014,17453898
"합계","소계","중소기업",2015,18058798
"합계","소계","중소기업",2016,19079287
"합계","소계","중소기업",2017,20974791
"합계","소계","중소기업",2018,21026626
"합계","소계","연구소 등 비영리기관",2012,0
"합계","소계","연구소 등 비영리기관",2013,0
"합계","소계","연구소 등 비영리기관",2014,0
"합계","소계","연구소 등 비영리기관",2015,0
"합계","소계","연구소 등 비영리기관",2016,0
"합계","소계","연구소 등 비영리기관",2017,0
"합계","소계","연구소 등 비영리기관",2018,0
"감축","소계","전체",2012,157460147
"감축","소계","전체",2013,154171751
"감축","소계","전체",2014,150388780
"감축","소계","전체",2015,143846895
"감축","소계","전체",2016,147011381
"감축","소계","전체",2017,158543795
"감축","소계","전체",2018,162524639
"감축","소계","대기업",2012,98407543
"감축","소계","대기업",2013,95702904
"감축","소계","대기업",2014,93158934
"감축","소계","대기업",2015,86735370
"감축","소계","대기업",2016,88627945
"감축","소계","대기업",2017,96894496
"감축","소계","대기업",2018,102007169
"감축","소계","중견기업",2012,44122525
"감축","소계","중견기업",2013,43160320
"감축","소계","중견기업",2014,41595586
"감축","소계","중견기업",2015,40929202
"감축","소계","중견기업",2016,41208015
"감축","소계","중견기업",2017,42666705
"감축","소계","중견기업",2018,41572902
"감축","소계","중소기업",2012,14930079
"감축","소계","중소기업",2013,15308528
"감축","소계","중소기업",2014,15634260
"감축","소계","중소기업",2015,16182323
"감축","소계","중소기업",2016,17175421
"감축","소계","중소기업",2017,18982594
"감축","소계","중소기업",2018,18944568
"감축","소계","연구소 등 비영리기관",2012,0
"감축","소계","연구소 등 비영리기관",2013,0
"감축","소계","연구소 등 비영리기관",2014,0
"감축","소계","연구소 등 비영리기관",2015,0
"감축","소계","연구소 등 비영리기관",2016,0
"감축","소계","연구소 등 비영리기관",2017,0
"감축","소계","연구소 등 비영리기관",2018,0
"감축","비재생에너지","전체",2012,1027501
"감축","비재생에너지","전체",2013,964377
"감축","비재생에너지","전체",2014,1005335
"감축","비재생에너지","전체",2015,888984
"감축","비재생에너지","전체",2016,799674
"감축","비재생에너지","전체",2017,815255
"감축","비재생에너지","전체",2018,738180
"감축","비재생에너지","대기업",2012,628469
"감축","비재생에너지","대기업",2013,604387
"감축","비재생에너지","대기업",2014,673534
"감축","비재생에너지","대기업",2015,526082
"감축","비재생에너지","대기업",2016,404810
"감축","비재생에너지","대기업",2017,392154
"감축","비재생에너지","대기업",2018,346961
"감축","비재생에너지","중견기업",2012,46667
"감축","비재생에너지","중견기업",2013,36864
"감축","비재생에너지","중견기업",2014,22709
"감축","비재생에너지","중견기업",2015,22293
"감축","비재생에너지","중견기업",2016,24671
"감축","비재생에너지","중견기업",2017,30891
"감축","비재생에너지","중견기업",2018,34849
