"기후기술분류별(1)","기후기술분류별(2)","매출규모별(1)",시점,데이터
"합계","소계","전체",2019 p),170123458
"합계","소계","전체",2020,168685256
"합계","소계","100억 원 미만",2019 p),6976753
"합계","소계","100억 원 미만",2020,7561361
"합계","소계","100억 원 이상 500억 원 미만",2020,9736318
"합계","소계","500억 원 이상 1,000억 원 미만",2020,6600940
"합계","소계","1,000억 원 이상 2,000억 원 미만",2020,8714522
"합계","소계","100억 원 이상 600억 원 미만",2019 p),10302641
"합계","소계","600억 원 이상 2,000억 원 미만",2019 p),13965684
"합계","소계","2,000억 원 이상",2019 p),117872622
"합계","소계","2,000억 원 이상",2020,126249727
"합계","소계","기타(공공기관)",2019 p),21005760
"합계","소계","기타(공공기관)",2020,9822388
"감축","소계","전체",2019 p),154538820
"감축","소계","전체",2020,152213509
"감축","소계","100억 원 미만",2019 p),5458914
"감축","소계","100억 원 미만",2020,5768574
"감축","소계","100억 원 이상 500억 원 미만",2020,8032601
"감축","소계","500억 원 이상 1,000억 원 미만",2020,5726027
"감축","소계","1,000억 원 이상 2,000억 원 미만",2020,7749411
"감축","소계","100억 원 이상 600억 원 미만",2019 p),8816865
"감축","소계","600억 원 이상 2,000억 원 미만",2019 p),13024364
"감축","소계","2,000억 원 이상",2019 p),113305498
"감축","소계","2,000억 원 이상",2020,115378414
"감축","소계","기타(공공기관)",2019 p),13933179
"감축","소계","기타(공공기관)",2020,9558481
"감축","비재생에너지","전체",2019 p),10446545
"감축","비재생에너지","전체",2020,6086836
"감축","비재생에너지","100억 원 미만",2019 p),140263
"감축","비재생에너지","100억 원 미만",2020,133160
"감축","비재생에너지","100억 원 이상 500억 원 미만",2020,32228
"감축","비재생에너지","500억 원 이상 1,000억 원 미만",2020,20708
"감축","비재생에너지","1,000억 원 이상 2,000억 원 미만",2020,120061
"감축","비재생에너지","100억 원 이상 600억 원 미만",2019 p),240829
"감축","비재생에너지","600억 원 이상 2,000억 원 미만",2019 p),228645
"감축","비재생에너지","2,000억 원 이상",2019 p),1360490
"감축","비재생에너지","2,000억 원 이상",2020,438019
"감축","비재생에너지","기타(공공기관)",2019 p),8476319
"감축","비재생에너지","기타(공공기관)",2020,5342661
"감축","재생에너지","전체",2019 p),16605228
"감축","재생에너지","전체",2020,20410475
"감축","재생에너지","100억 원 미만",2019 p),1742743
"감축","재생에너지","100억 원 미만",2020,2060838
"감축","재생에너지","100억 원 이상 500억 원 미만",2020,2054328
"감축","재생에너지","500억 원 이상 1,000억 원 미만",2020,2218334
"감축","재생에너지","1,000억 원 이상 2,000억 원 미만",2020,1500651
"감축","재생에너지","100억 원 이상 600억 원 미만",2019 p),2668879
"감축","재생에너지","600억 원 이상 2,000억 원 미만",2019 p),3303267
"감축","재생에너지","2,000억 원 이상",2019 p),8381834
"감축","재생에너지","2,000억 원 이상",2020,11912757
"감축","재생에너지","기타(공공기관)",2019 p),508505
"감축","재생에너지","기타(공공기관)",2020,663568
"감축","신에너지","전체",2019 p),11756352
"감축","신에너지","전체",2020,11539458
"감축","신에너지","100억 원 미만",2019 p),137044
"감축","신에너지","100억 원 미만",2020,296519
"감축","신에너지","100억 원 이상 500억 원 미만",2020,272573
"감축","신에너지","500억 원 이상 1,000억 원 미만",2020,322581
"감축","신에너지","1,000억 원 이상 2,000억 원 미만",2020,142135
