"기후기술분류별(1)","기후기술분류별(2)","기술이전 방식별(1)",기술이전 방식별(2),시점,데이터
"합계","소계","국내 기술이전",국내 기술양도,2019 p),271
"합계","소계","국내 기술이전",국내 무상양도,2019 p),31
"합계","소계","국내 기술이전",국내 유상기술,2019 p),124
"합계","소계","국내 기술이전",국내 무상기술,2019 p),18
"합계","소계","국내 기술이전",국내 기타,2019 p),9
"합계","소계","국외 기술이전",국외 기술양도,2019 p),21
"합계","소계","국외 기술이전",국외 무상양도,2019 p),11
"합계","소계","국외 기술이전",국외 유상기술,2019 p),53
"합계","소계","국외 기술이전",국외 무상기술,2019 p),3
"합계","소계","국외 기술이전",국외 기타,2019 p),3
"감축","소계","국내 기술이전",국내 기술양도,2019 p),232
"감축","소계","국내 기술이전",국내 무상양도,2019 p),27
"감축","소계","국내 기술이전",국내 유상기술,2019 p),115
"감축","소계","국내 기술이전",국내 무상기술,2019 p),14
"감축","소계","국내 기술이전",국내 기타,2019 p),9
"감축","소계","국외 기술이전",국외 기술양도,2019 p),21
"감축","소계","국외 기술이전",국외 무상양도,2019 p),11
"감축","소계","국외 기술이전",국외 유상기술,2019 p),48
"감축","소계","국외 기술이전",국외 무상기술,2019 p),-
"감축","소계","국외 기술이전",국외 기타,2019 p),3
"감축","비재생에너지","국내 기술이전",국내 기술양도,2019 p),5
"감축","비재생에너지","국내 기술이전",국내 무상양도,2019 p),-
"감축","비재생에너지","국내 기술이전",국내 유상기술,2019 p),2
"감축","비재생에너지","국내 기술이전",국내 무상기술,2019 p),-
"감축","비재생에너지","국내 기술이전",국내 기타,2019 p),-
"감축","비재생에너지","국외 기술이전",국외 기술양도,2019 p),-
"감축","비재생에너지","국외 기술이전",국외 무상양도,2019 p),-
"감축","비재생에너지","국외 기술이전",국외 유상기술,2019 p),5
"감축","비재생에너지","국외 기술이전",국외 무상기술,2019 p),-
"감축","비재생에너지","국외 기술이전",국외 기타,2019 p),-
"감축","재생에너지","국내 기술이전",국내 기술양도,2019 p),103
"감축","재생에너지","국내 기술이전",국내 무상양도,2019 p),10
"감축","재생에너지","국내 기술이전",국내 유상기술,2019 p),69
"감축","재생에너지","국내 기술이전",국내 무상기술,2019 p),6
"감축","재생에너지","국내 기술이전",국내 기타,2019 p),5
"감축","재생에너지","국외 기술이전",국외 기술양도,2019 p),14
"감축","재생에너지","국외 기술이전",국외 무상양도,2019 p),5
"감축","재생에너지","국외 기술이전",국외 유상기술,2019 p),18
"감축","재생에너지","국외 기술이전",국외 무상기술,2019 p),-
"감축","재생에너지","국외 기술이전",국외 기타,2019 p),3
"감축","신에너지","국내 기술이전",국내 기술양도,2019 p),13
"감축","신에너지","국내 기술이전",국내 무상양도,2019 p),-
"감축","신에너지","국내 기술이전",국내 유상기술,2019 p),1
