"기후기술분류별(1)","기후기술분류별(2)","기술이전 방식별(1)",기술이전 방식별(2),시점,데이터
"합계","소계","국내 공공기술의 기술이전 적합 방안 (건)",사례수,2020,7604
"합계","소계","국내 공공기술의 기술이전 적합 방안 (건)",기술양도,2020,2008
"합계","소계","국내 공공기술의 기술이전 적합 방안 (건)",무상양도,2020,4960
"합계","소계","국내 공공기술의 기술이전 적합 방안 (건)",유상기술,2020,1415
"합계","소계","국내 공공기술의 기술이전 적합 방안 (건)",무상기술,2020,2192
"합계","소계","국내 공공기술의 기술이전 적합 방안 (건)",기타,2020,21
"감축","소계","국내 공공기술의 기술이전 적합 방안 (건)",사례수,2020,6012
"감축","소계","국내 공공기술의 기술이전 적합 방안 (건)",기술양도,2020,1666
"감축","소계","국내 공공기술의 기술이전 적합 방안 (건)",무상양도,2020,3845
"감축","소계","국내 공공기술의 기술이전 적합 방안 (건)",유상기술,2020,1102
"감축","소계","국내 공공기술의 기술이전 적합 방안 (건)",무상기술,2020,1735
"감축","소계","국내 공공기술의 기술이전 적합 방안 (건)",기타,2020,13
"감축","비재생에너지","국내 공공기술의 기술이전 적합 방안 (건)",사례수,2020,78
"감축","비재생에너지","국내 공공기술의 기술이전 적합 방안 (건)",기술양도,2020,1
"감축","비재생에너지","국내 공공기술의 기술이전 적합 방안 (건)",무상양도,2020,66
"감축","비재생에너지","국내 공공기술의 기술이전 적합 방안 (건)",유상기술,2020,17
"감축","비재생에너지","국내 공공기술의 기술이전 적합 방안 (건)",무상기술,2020,0
"감축","비재생에너지","국내 공공기술의 기술이전 적합 방안 (건)",기타,2020,0
"감축","재생에너지","국내 공공기술의 기술이전 적합 방안 (건)",사례수,2020,2064
"감축","재생에너지","국내 공공기술의 기술이전 적합 방안 (건)",기술양도,2020,555
"감축","재생에너지","국내 공공기술의 기술이전 적합 방안 (건)",무상양도,2020,1040
"감축","재생에너지","국내 공공기술의 기술이전 적합 방안 (건)",유상기술,2020,360
"감축","재생에너지","국내 공공기술의 기술이전 적합 방안 (건)",무상기술,2020,587
"감축","재생에너지","국내 공공기술의 기술이전 적합 방안 (건)",기타,2020,7
"감축","신에너지","국내 공공기술의 기술이전 적합 방안 (건)",사례수,2020,148
"감축","신에너지","국내 공공기술의 기술이전 적합 방안 (건)",기술양도,2020,112
"감축","신에너지","국내 공공기술의 기술이전 적합 방안 (건)",무상양도,2020,96
"감축","신에너지","국내 공공기술의 기술이전 적합 방안 (건)",유상기술,2020,22
"감축","신에너지","국내 공공기술의 기술이전 적합 방안 (건)",무상기술,2020,18
"감축","신에너지","국내 공공기술의 기술이전 적합 방안 (건)",기타,2020,0
"감축","에너지저장","국내 공공기술의 기술이전 적합 방안 (건)",사례수,2020,464
"감축","에너지저장","국내 공공기술의 기술이전 적합 방안 (건)",기술양도,2020,81
"감축","에너지저장","국내 공공기술의 기술이전 적합 방안 (건)",무상양도,2020,332
"감축","에너지저장","국내 공공기술의 기술이전 적합 방안 (건)",유상기술,2020,125
"감축","에너지저장","국내 공공기술의 기술이전 적합 방안 (건)",무상기술,2020,151
"감축","에너지저장","국내 공공기술의 기술이전 적합 방안 (건)",기타,2020,0
"감축","송배전&전력IT","국내 공공기술의 기술이전 적합 방안 (건)",사례수,2020,424
"감축","송배전&전력IT","국내 공공기술의 기술이전 적합 방안 (건)",기술양도,2020,268
"감축","송배전&전력IT","국내 공공기술의 기술이전 적합 방안 (건)",무상양도,2020,305
"감축","송배전&전력IT","국내 공공기술의 기술이전 적합 방안 (건)",유상기술,2020,38
"감축","송배전&전력IT","국내 공공기술의 기술이전 적합 방안 (건)",무상기술,2020,45
"감축","송배전&전력IT","국내 공공기술의 기술이전 적합 방안 (건)",기타,2020,0
"감축","에너지수요","국내 공공기술의 기술이전 적합 방안 (건)",사례수,2020,2790
"감축","에너지수요","국내 공공기술의 기술이전 적합 방안 (건)",기술양도,2020,649
"감축","에너지수요","국내 공공기술의 기술이전 적합 방안 (건)",무상양도,2020,1972
"감축","에너지수요","국내 공공기술의 기술이전 적합 방안 (건)",유상기술,2020,526
"감축","에너지수요","국내 공공기술의 기술이전 적합 방안 (건)",무상기술,2020,932
"감축","에너지수요","국내 공공기술의 기술이전 적합 방안 (건)",기타,2020,6
"감축","온실가스 고정","국내 공공기술의 기술이전 적합 방안 (건)",사례수,2020,45
"감축","온실가스 고정","국내 공공기술의 기술이전 적합 방안 (건)",기술양도,2020,0
"감축","온실가스 고정","국내 공공기술의 기술이전 적합 방안 (건)",무상양도,2020,35
"감축","온실가스 고정","국내 공공기술의 기술이전 적합 방안 (건)",유상기술,2020,13
"감축","온실가스 고정","국내 공공기술의 기술이전 적합 방안 (건)",무상기술,2020,0
"감축","온실가스 고정","국내 공공기술의 기술이전 적합 방안 (건)",기타,2020,0
"적응","소계","국내 공공기술의 기술이전 적합 방안 (건)",사례수,2020,1432
"적응","소계","국내 공공기술의 기술이전 적합 방안 (건)",기술양도,2020,301
"적응","소계","국내 공공기술의 기술이전 적합 방안 (건)",무상양도,2020,1010
"적응","소계","국내 공공기술의 기술이전 적합 방안 (건)",유상기술,2020,290
"적응","소계","국내 공공기술의 기술이전 적합 방안 (건)",무상기술,2020,426
"적응","소계","국내 공공기술의 기술이전 적합 방안 (건)",기타,2020,5
"적응","농업&축산","국내 공공기술의 기술이전 적합 방안 (건)",사례수,2020,533
"적응","농업&축산","국내 공공기술의 기술이전 적합 방안 (건)",기술양도,2020,70
"적응","농업&축산","국내 공공기술의 기술이전 적합 방안 (건)",무상양도,2020,396
"적응","농업&축산","국내 공공기술의 기술이전 적합 방안 (건)",유상기술,2020,65
"적응","농업&축산","국내 공공기술의 기술이전 적합 방안 (건)",무상기술,2020,164
"적응","농업&축산","국내 공공기술의 기술이전 적합 방안 (건)",기타,2020,5
"적응","물관리","국내 공공기술의 기술이전 적합 방안 (건)",사례수,2020,721
"적응","물관리","국내 공공기술의 기술이전 적합 방안 (건)",기술양도,2020,204
"적응","물관리","국내 공공기술의 기술이전 적합 방안 (건)",무상양도,2020,486
"적응","물관리","국내 공공기술의 기술이전 적합 방안 (건)",유상기술,2020,137
"적응","물관리","국내 공공기술의 기술이전 적합 방안 (건)",무상기술,2020,250
"적응","물관리","국내 공공기술의 기술이전 적합 방안 (건)",기타,2020,0
"적응","예측?모니터링","국내 공공기술의 기술이전 적합 방안 (건)",사례수,2020,27
"적응","예측?모니터링","국내 공공기술의 기술이전 적합 방안 (건)",기술양도,2020,1
"적응","예측?모니터링","국내 공공기술의 기술이전 적합 방안 (건)",무상양도,2020,17
"적응","예측?모니터링","국내 공공기술의 기술이전 적합 방안 (건)",유상기술,2020,17
"적응","예측?모니터링","국내 공공기술의 기술이전 적합 방안 (건)",무상기술,2020,0
"적응","예측?모니터링","국내 공공기술의 기술이전 적합 방안 (건)",기타,2020,0
"적응","해양수산연안","국내 공공기술의 기술이전 적합 방안 (건)",사례수,2020,58
"적응","해양수산연안","국내 공공기술의 기술이전 적합 방안 (건)",기술양도,2020,1
"적응","해양수산연안","국내 공공기술의 기술이전 적합 방안 (건)",무상양도,2020,53
"적응","해양수산연안","국내 공공기술의 기술이전 적합 방안 (건)",유상기술,2020,34
"적응","해양수산연안","국내 공공기술의 기술이전 적합 방안 (건)",무상기술,2020,6
"적응","해양수산연안","국내 공공기술의 기술이전 적합 방안 (건)",기타,2020,0
"적응","건강","국내 공공기술의 기술이전 적합 방안 (건)",사례수,2020,48
"적응","건강","국내 공공기술의 기술이전 적합 방안 (건)",기술양도,2020,4
"적응","건강","국내 공공기술의 기술이전 적합 방안 (건)",무상양도,2020,22
"적응","건강","국내 공공기술의 기술이전 적합 방안 (건)",유상기술,2020,33
"적응","건강","국내 공공기술의 기술이전 적합 방안 (건)",무상기술,2020,0
"적응","건강","국내 공공기술의 기술이전 적합 방안 (건)",기타,2020,0
"적응","산림육상","국내 공공기술의 기술이전 적합 방안 (건)",사례수,2020,45
"적응","산림육상","국내 공공기술의 기술이전 적합 방안 (건)",기술양도,2020,21
"적응","산림육상","국내 공공기술의 기술이전 적합 방안 (건)",무상양도,2020,35
"적응","산림육상","국내 공공기술의 기술이전 적합 방안 (건)",유상기술,2020,3
"적응","산림육상","국내 공공기술의 기술이전 적합 방안 (건)",무상기술,2020,7
"적응","산림육상","국내 공공기술의 기술이전 적합 방안 (건)",기타,2020,0
"융복합","소계","국내 공공기술의 기술이전 적합 방안 (건)",사례수,2020,159
"융복합","소계","국내 공공기술의 기술이전 적합 방안 (건)",기술양도,2020,41
"융복합","소계","국내 공공기술의 기술이전 적합 방안 (건)",무상양도,2020,105
"융복합","소계","국내 공공기술의 기술이전 적합 방안 (건)",유상기술,2020,23
"융복합","소계","국내 공공기술의 기술이전 적합 방안 (건)",무상기술,2020,31
"융복합","소계","국내 공공기술의 기술이전 적합 방안 (건)",기타,2020,4
"융복합","감축 및 적응 융복합","국내 공공기술의 기술이전 적합 방안 (건)",사례수,2020,159
"융복합","감축 및 적응 융복합","국내 공공기술의 기술이전 적합 방안 (건)",기술양도,2020,41
"융복합","감축 및 적응 융복합","국내 공공기술의 기술이전 적합 방안 (건)",무상양도,2020,105
"융복합","감축 및 적응 융복합","국내 공공기술의 기술이전 적합 방안 (건)",유상기술,2020,23
"융복합","감축 및 적응 융복합","국내 공공기술의 기술이전 적합 방안 (건)",무상기술,2020,31
"융복합","감축 및 적응 융복합","국내 공공기술의 기술이전 적합 방안 (건)",기타,2020,4
