"기술이전 현황별(1)","기술이전 현황별(2)","기후기술분류별(1)",기후기술분류별(2),시점,데이터
"기술이전 수행여부 (%)","기술이전 수행","합계",소계,2019 p),7.2
"기술이전 수행여부 (%)","기술이전 수행","감축",소계,2019 p),7.5
"기술이전 수행여부 (%)","기술이전 수행","감축",비재생에너지,2019 p),12.2
"기술이전 수행여부 (%)","기술이전 수행","감축",재생에너지,2019 p),10.2
"기술이전 수행여부 (%)","기술이전 수행","감축",신에너지,2019 p),2.9
"기술이전 수행여부 (%)","기술이전 수행","감축",에너지저장,2019 p),6.3
"기술이전 수행여부 (%)","기술이전 수행","감축",송배전&전력IT,2019 p),7.8
"기술이전 수행여부 (%)","기술이전 수행","감축",에너지수요,2019 p),6.0
"기술이전 수행여부 (%)","기술이전 수행","감축",온실가스 고정,2019 p),0.0
"기술이전 수행여부 (%)","기술이전 수행","적응",소계,2019 p),5.7
"기술이전 수행여부 (%)","기술이전 수행","적응",농업&축산,2019 p),10.6
"기술이전 수행여부 (%)","기술이전 수행","적응",물관리,2019 p),2.5
"기술이전 수행여부 (%)","기술이전 수행","융복합",소계,2019 p),5.7
"기술이전 수행여부 (%)","기술이전 수행","융복합",감축 및 적응 융복합,2019 p),5.7
"기술이전 수행여부 (%)","기술이전 미수행","합계",소계,2019 p),92.8
"기술이전 수행여부 (%)","기술이전 미수행","감축",소계,2019 p),92.5
"기술이전 수행여부 (%)","기술이전 미수행","감축",비재생에너지,2019 p),87.8
"기술이전 수행여부 (%)","기술이전 미수행","감축",재생에너지,2019 p),89.8
"기술이전 수행여부 (%)","기술이전 미수행","감축",신에너지,2019 p),97.1
"기술이전 수행여부 (%)","기술이전 미수행","감축",에너지저장,2019 p),93.7
"기술이전 수행여부 (%)","기술이전 미수행","감축",송배전&전력IT,2019 p),92.2
"기술이전 수행여부 (%)","기술이전 미수행","감축",에너지수요,2019 p),94.0
"기술이전 수행여부 (%)","기술이전 미수행","감축",온실가스 고정,2019 p),100.0
"기술이전 수행여부 (%)","기술이전 미수행","적응",소계,2019 p),94.3
"기술이전 수행여부 (%)","기술이전 미수행","적응",농업&축산,2019 p),89.4
"기술이전 수행여부 (%)","기술이전 미수행","적응",물관리,2019 p),97.5
"기술이전 수행여부 (%)","기술이전 미수행","융복합",소계,2019 p),94.3
"기술이전 수행여부 (%)","기술이전 미수행","융복합",감축 및 적응 융복합,2019 p),94.3
"기술이전 건수 (건)","소계","합계",소계,2019 p),10593
"기술이전 건수 (건)","소계","감축",소계,2019 p),9830
"기술이전 건수 (건)","소계","감축",비재생에너지,2019 p),35
"기술이전 건수 (건)","소계","감축",재생에너지,2019 p),5079
"기술이전 건수 (건)","소계","감축",신에너지,2019 p),195
"기술이전 건수 (건)","소계","감축",에너지저장,2019 p),1358
"기술이전 건수 (건)","소계","감축",송배전&전력IT,2019 p),297
"기술이전 건수 (건)","소계","감축",에너지수요,2019 p),2866
