"기후기술분류별(1)","기후기술분류별(2)","기술이전 현황별(1)",기술이전 현황별(2),시점,데이터
"합계","소계","기술이전 수행 (건)",사례수,2020,7602
"합계","소계","기술이전 수행 (건)",기술이전 건수(합계),2020,8844
"합계","소계","기술이전 수행 (건)",기술이전 건수(평균),2020,1.16
"합계","소계","기술료 징수",사례수 (건),2020,7604
"합계","소계","기술료 징수",기술료 징수액(합계) (백만원),2020,1614818
"합계","소계","기술료 징수",기술료 징수액(평균) (백만원),2020,212.37
"감축","소계","기술이전 수행 (건)",사례수,2020,6010
"감축","소계","기술이전 수행 (건)",기술이전 건수(합계),2020,7465
"감축","소계","기술이전 수행 (건)",기술이전 건수(평균),2020,1.24
"감축","소계","기술료 징수",사례수 (건),2020,6012
"감축","소계","기술료 징수",기술료 징수액(합계) (백만원),2020,1575126
"감축","소계","기술료 징수",기술료 징수액(평균) (백만원),2020,261.99
"감축","비재생에너지","기술이전 수행 (건)",사례수,2020,76
"감축","비재생에너지","기술이전 수행 (건)",기술이전 건수(합계),2020,367
"감축","비재생에너지","기술이전 수행 (건)",기술이전 건수(평균),2020,4.81
"감축","비재생에너지","기술료 징수",사례수 (건),2020,78
"감축","비재생에너지","기술료 징수",기술료 징수액(합계) (백만원),2020,1179433
"감축","비재생에너지","기술료 징수",기술료 징수액(평균) (백만원),2020,15120.93
"감축","재생에너지","기술이전 수행 (건)",사례수,2020,2064
"감축","재생에너지","기술이전 수행 (건)",기술이전 건수(합계),2020,4071
"감축","재생에너지","기술이전 수행 (건)",기술이전 건수(평균),2020,1.97
"감축","재생에너지","기술료 징수",사례수 (건),2020,2064
"감축","재생에너지","기술료 징수",기술료 징수액(합계) (백만원),2020,315985
"감축","재생에너지","기술료 징수",기술료 징수액(평균) (백만원),2020,153.07
"감축","신에너지","기술이전 수행 (건)",사례수,2020,148
"감축","신에너지","기술이전 수행 (건)",기술이전 건수(합계),2020,51
"감축","신에너지","기술이전 수행 (건)",기술이전 건수(평균),2020,0.34
"감축","신에너지","기술료 징수",사례수 (건),2020,148
"감축","신에너지","기술료 징수",기술료 징수액(합계) (백만원),2020,338
"감축","신에너지","기술료 징수",기술료 징수액(평균) (백만원),2020,2.28
"감축","에너지저장","기술이전 수행 (건)",사례수,2020,464
"감축","에너지저장","기술이전 수행 (건)",기술이전 건수(합계),2020,1183
"감축","에너지저장","기술이전 수행 (건)",기술이전 건수(평균),2020,2.55
"감축","에너지저장","기술료 징수",사례수 (건),2020,464
"감축","에너지저장","기술료 징수",기술료 징수액(합계) (백만원),2020,19220
"감축","에너지저장","기술료 징수",기술료 징수액(평균) (백만원),2020,41.44
"감축","송배전&전력IT","기술이전 수행 (건)",사례수,2020,424
"감축","송배전&전력IT","기술이전 수행 (건)",기술이전 건수(합계),2020,82
"감축","송배전&전력IT","기술이전 수행 (건)",기술이전 건수(평균),2020,0.19
"감축","송배전&전력IT","기술료 징수",사례수 (건),2020,424
