"기후기술분류별(1)",기후기술분류별(2),2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018
"기후기술분류별(1)",기후기술분류별(2),전체,대기업,중견기업,중소기업,연구소 등 비영리기관,전체,대기업,중견기업,중소기업,연구소 등 비영리기관,전체,대기업,중견기업,중소기업,연구소 등 비영리기관,전체,대기업,중견기업,중소기업,연구소 등 비영리기관,전체,대기업,중견기업,중소기업,연구소 등 비영리기관,전체,대기업,중견기업,중소기업,연구소 등 비영리기관,전체,대기업,중견기업,중소기업,연구소 등 비영리기관
"합계",소계,1819184,493113,278556,982383,65131,1894190,567001,302179,963832,61178,1904750,503564,317854,1024319,59014,1937116,464544,338822,1040086,93665,2041939,499345,383463,1076089,83042,2256393,519095,402527,1221701,113070,2339175,554427,424209,1249220,111318
"감축",소계,1702527,436409,263234,937803,65080,1753802,504826,283271,904550,61155,1817551,481650,299126,977788,58987,1847585,439816,318534,996051,93183,1941463,475855,358289,1024967,82352,2161765,498683,378032,1172600,112450,2246186,532931,399260,1203418,110577
"감축",비재생에너지,58288,44472,834,0,12982,69708,55966,894,0,12848,63617,50702,853,-,12062,28495,13623,1041,-,13831,67261,49485,1014,-,16762,67256,48202,1013,-,18041,57098,37937,816,-,18346
"감축",재생에너지,316611,12822,45817,212853,45120,286497,10971,50583,187148,37796,274796,6552,50991,181210,36043,314786,9583,55132,186571,63500,349158,11320,68648,213597,55592,431357,11097,78802,268472,72986,413394,11345,86960,243939,71150
"감축",신에너지,63901,2108,2354,59363,77,44706,2175,2760,39724,48,47642,2405,2905,42331,-,49787,2555,2805,44426,-,53904,2776,3459,47409,260,60452,2607,3270,50920,3655,67353,2370,4290,56349,4344
"감축",에너지저장,242067,136036,22975,82927,129,265978,146975,25575,92977,451,271808,148068,27521,95310,908,284800,142120,31766,106256,4657,298408,149855,33977,113605,970,330039,160599,36016,129039,4384,369005,190350,42771,132000,3885
"감축",송배전 및 에너지관리,97352,31838,7621,54893,3000,108024,42153,7842,54481,3548,119925,44388,9509,61651,4376,110579,41835,8936,55158,4650,106407,44045,10069,47313,4980,105855,46938,8858,44091,5968,111370,53944,7925,44671,4829
"감축",에너지수요,908619,209090,168006,527768,3756,958887,246557,175669,530221,6440,1023441,229494,191126,597275,5547,1044460,229939,204450,603622,6450,1044259,218264,219393,603030,3572,1148851,229245,232276,680064,7266,1210980,236986,239585,726460,7950
"감축",온실가스 고정,15688,44,15627,0,17,20001,29,19949,0,23,16322,40,16221,10,51,14678,161,14405,18,94,22067,110,21729,12,216,17955,-6,17797,14,150,16986,-,16914,-,72
"적응",소계,52127,6384,6357,39335,51,66730,8599,6894,51213,23,51248,5228,6659,39336,25,51144,7034,7045,37012,53,56985,5371,7266,44277,71,55322,5121,7262,42866,73,50864,3548,7323,39952,40
"적응",농업축산,12615,38,1322,11226,29,13070,32,1629,11408,0,11996,47,1519,10429,-,12596,5,1705,10866,20,13194,1,1526,11628,39,12858,-,1657,11161,39,14198,-,1508,12665,25
"적응",물,39512,6346,5036,28109,22,53660,8567,5265,39805,23,39252,5181,5140,28907,25,38549,7029,5340,26146,33,43791,5370,5740,32649,32,42464,5121,5605,31704,34,36666,3548,5814,27287,16
"감축 및 적응 융복합",소계,64530,50320,8965,5245,0,73658,53576,12014,8068,0,35951,16686,12069,7194,2,38387,17694,13243,7022,428,43491,18119,17908,6844,619,39306,15292,17232,6235,547,42125,17947,17626,5850,701
"감축 및 적응 융복합",감축 및 적응 융복합,64530,50320,8965,5245,0,73658,53576,12014,8068,0,35951,16686,12069,7194,2,38387,17694,13243,7022,428,43491,18119,17908,6844,619,39306,15292,17232,6235,547,42125,17947,17626,5850,701
