"기후기술분류별(1)",기후기술분류별(2),2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018
"기후기술분류별(1)",기후기술분류별(2),전체,대기업,중견기업,중소기업,연구소 등 비영리기관,전체,대기업,중견기업,중소기업,연구소 등 비영리기관,전체,대기업,중견기업,중소기업,연구소 등 비영리기관,전체,대기업,중견기업,중소기업,연구소 등 비영리기관,전체,대기업,중견기업,중소기업,연구소 등 비영리기관,전체,대기업,중견기업,중소기업,연구소 등 비영리기관,전체,대기업,중견기업,중소기업,연구소 등 비영리기관
"합계",소계,184816,67089,67094,44504,6129,187515,67971,67559,45675,6310,192815,70368,69639,46154,6654,194410,71664,69114,46712,6920,197867,72275,68485,49897,7210,197615,71298,68196,50922,7199,195064,72143,65296,49825,7799
"감축",소계,173585,65880,64529,37281,5895,175989,66682,64822,38412,6073,181306,69105,66978,38812,6412,183072,70386,66603,39400,6683,185669,70968,65984,41742,6975,185286,69988,65794,42542,6963,183380,70860,63152,41811,7556
"감축",비재생에너지,3734,1864,183,1316,370,3929,2011,173,1354,391,3754,1977,145,1224,410,3805,1891,157,1327,431,4060,1891,227,1467,475,4079,1854,233,1504,488,4068,1892,243,1449,484
"감축",재생에너지,49982,16482,17003,13784,2713,48567,15676,16086,13999,2806,51910,16026,18692,14200,2991,55475,18951,19171,14186,3167,55092,19277,17280,15246,3288,54862,18331,17277,15697,3557,54709,19172,16328,15162,4047
"감축",신에너지,3942,1789,1123,991,38,3900,1645,1281,931,43,3953,1658,1302,940,53,3566,1228,1314,962,62,3977,1553,1305,1040,79,3992,1565,1284,1071,73,3967,1588,1248,1047,85
"감축",에너지저장,32129,23579,3387,5126,38,33670,24547,3521,5561,41,35491,26230,3580,5632,48,35243,26043,3447,5691,62,35147,25607,3492,5983,66,36001,26165,3528,6233,75,37615,27338,3705,6485,86
"감축",송배전 및 에너지관리,5398,138,3160,1741,358,5373,141,3020,1838,374,5340,137,2902,1901,400,4783,137,2399,1833,415,5035,134,2465,2005,431,4878,137,2384,1889,467,5066,145,2607,1833,480
"감축",에너지수요,78091,22009,39609,14108,2366,80214,22646,40663,14499,2406,80504,23061,40265,14682,2496,79831,22119,40016,15163,2533,81953,22492,41114,15725,2622,81060,21932,40999,15843,2286,77506,20721,38933,15499,2354
"감축",온실가스 고정,310,19,64,216,11,338,17,80,229,12,355,17,92,232,13,368,17,99,239,14,406,13,103,275,15,415,4,89,305,16,449,4,88,336,21
"적응",소계,7282,72,449,6619,142,7279,71,451,6615,142,7254,71,436,6603,144,7301,69,436,6652,144,8099,98,477,7376,149,8333,101,507,7579,145,7953,72,442,7287,151
"적응",농업축산,1346,8,128,1140,70,1486,2,127,1288,69,1415,2,126,1218,70,1448,1,128,1248,71,1516,-,142,1298,76,1630,-,144,1414,72,1617,-,147,1392,78
"적응",물,5936,64,321,5479,73,5794,69,324,5327,74,5839,70,310,5385,74,5853,68,308,5404,72,6584,98,335,6078,73,6703,101,363,6165,74,6336,72,295,5895,73
"감축 및 적응 융복합",소계,3949,1137,2116,604,92,4247,1218,2286,648,95,4255,1192,2225,740,99,4038,1209,2075,660,93,4098,1209,2024,780,85,3996,1209,1895,800,92,3731,1211,1702,727,91
"감축 및 적응 융복합",감축 및 적응 융복합,3949,1137,2116,604,92,4247,1218,2286,648,95,4255,1192,2225,740,99,4038,1209,2075,660,93,4098,1209,2024,780,85,3996,1209,1895,800,92,3731,1211,1702,727,91
