"기업규모별(1)","기후기술분류별(1)","기후기술분류별(2)",시점,데이터
"전체","합계","소계",2012,184816
"전체","합계","소계",2013,187515
"전체","합계","소계",2014,192815
"전체","합계","소계",2015,194410
"전체","합계","소계",2016,197867
"전체","합계","소계",2017,197615
"전체","합계","소계",2018,195064
"전체","감축","소계",2012,173585
"전체","감축","소계",2013,175989
"전체","감축","소계",2014,181306
"전체","감축","소계",2015,183072
"전체","감축","소계",2016,185669
"전체","감축","소계",2017,185286
"전체","감축","소계",2018,183380
"전체","감축","비재생에너지",2012,3734
"전체","감축","비재생에너지",2013,3929
"전체","감축","비재생에너지",2014,3754
"전체","감축","비재생에너지",2015,3805
"전체","감축","비재생에너지",2016,4060
"전체","감축","비재생에너지",2017,4079
"전체","감축","비재생에너지",2018,4068
"전체","감축","재생에너지",2012,49982
"전체","감축","재생에너지",2013,48567
"전체","감축","재생에너지",2014,51910
"전체","감축","재생에너지",2015,55475
"전체","감축","재생에너지",2016,55092
"전체","감축","재생에너지",2017,54862
"전체","감축","재생에너지",2018,54709
"전체","감축","신에너지",2012,3942
"전체","감축","신에너지",2013,3900
"전체","감축","신에너지",2014,3953
"전체","감축","신에너지",2015,3566
"전체","감축","신에너지",2016,3977
"전체","감축","신에너지",2017,3992
"전체","감축","신에너지",2018,3967
"전체","감축","에너지저장",2012,32129
"전체","감축","에너지저장",2013,33670
"전체","감축","에너지저장",2014,35491
"전체","감축","에너지저장",2015,35243
"전체","감축","에너지저장",2016,35147
"전체","감축","에너지저장",2017,36001
"전체","감축","에너지저장",2018,37615
"전체","감축","송배전 및 에너지관리",2012,5398
"전체","감축","송배전 및 에너지관리",2013,5373
"전체","감축","송배전 및 에너지관리",2014,5340
"전체","감축","송배전 및 에너지관리",2015,4783
"전체","감축","송배전 및 에너지관리",2016,5035
"전체","감축","송배전 및 에너지관리",2017,4878
"전체","감축","송배전 및 에너지관리",2018,5066
"전체","감축","에너지수요",2012,78091
"전체","감축","에너지수요",2013,80214
"전체","감축","에너지수요",2014,80504
"전체","감축","에너지수요",2015,79831
"전체","감축","에너지수요",2016,81953
"전체","감축","에너지수요",2017,81060
"전체","감축","에너지수요",2018,77506
"전체","감축","온실가스 고정",2012,310
"전체","감축","온실가스 고정",2013,338
"전체","감축","온실가스 고정",2014,355
"전체","감축","온실가스 고정",2015,368
"전체","감축","온실가스 고정",2016,406
"전체","감축","온실가스 고정",2017,415
"전체","감축","온실가스 고정",2018,449
"전체","적응","소계",2012,7282
"전체","적응","소계",2013,7279
"전체","적응","소계",2014,7254
"전체","적응","소계",2015,7301
"전체","적응","소계",2016,8099
"전체","적응","소계",2017,8333
"전체","적응","소계",2018,7953
"전체","적응","농업축산",2012,1346
"전체","적응","농업축산",2013,1486
"전체","적응","농업축산",2014,1415
"전체","적응","농업축산",2015,1448
"전체","적응","농업축산",2016,1516
"전체","적응","농업축산",2017,1630
"전체","적응","농업축산",2018,1617
"전체","적응","물",2012,5936
"전체","적응","물",2013,5794
"전체","적응","물",2014,5839
"전체","적응","물",2015,5853
"전체","적응","물",2016,6584
"전체","적응","물",2017,6703
"전체","적응","물",2018,6336
"전체","감축 및 적응 융복합","소계",2012,3949
"전체","감축 및 적응 융복합","소계",2013,4247
"전체","감축 및 적응 융복합","소계",2014,4255
"전체","감축 및 적응 융복합","소계",2015,4038
"전체","감축 및 적응 융복합","소계",2016,4098
"전체","감축 및 적응 융복합","소계",2017,3996
