"기후기술분류별(1)",기후기술분류별(2),2019 p),2019 p),2019 p),2019 p),2019 p),2019 p),2019 p),2019 p),2019 p),2019 p)
"기후기술분류별(1)",기후기술분류별(2),국내 기술이전,국내 기술이전,국내 기술이전,국내 기술이전,국내 기술이전,국외 기술이전,국외 기술이전,국외 기술이전,국외 기술이전,국외 기술이전
"기후기술분류별(1)",기후기술분류별(2),국내 기술양도,국내 무상양도,국내 유상기술,국내 무상기술,국내 기타,국외 기술양도,국외 무상양도,국외 유상기술,국외 무상기술,국외 기타
"합계",소계,271,31,124,18,9,21,11,53,3,3
"감축",소계,232,27,115,14,9,21,11,48,-,3
"감축",비재생에너지,5,-,2,-,-,-,-,5,-,-
"감축",재생에너지,103,10,69,6,5,14,5,18,-,3
"감축",신에너지,13,-,1,-,-,2,-,-,-,-
"감축",에너지저장,11,-,14,2,-,3,2,-,-,-
"감축",송배전&전력IT,30,6,5,-,2,-,-,6,-,-
"감축",에너지수요,70,12,23,6,3,3,4,20,-,-
"감축",온실가스 고정,-,-,-,-,-,-,-,-,-,-
"적응",소계,30,3,8,1,-,-,-,5,3,-
"적응",농업&축산,28,3,6,1,-,-,-,1,3,-
"적응",물관리,2,-,2,-,-,-,-,3,-,-
"융복합",소계,8,-,1,2,-,-,-,-,-,-
"융복합",감축 및 적응 융복합,8,-,1,2,-,-,-,-,-,-
