"기후기술분류별(1)",기후기술분류별(2),2019 p),2019 p),2019 p),2019 p),2019 p),2020,2020,2020,2020,2020,2020,2020
"기후기술분류별(1)",기후기술분류별(2),전체,100억 원 미만,100억 원 이상 600억 원 미만,600억 원 이상 2000억 원 미만,2000억 원 이상,전체,100억 원 미만,100억 원 이상 500억 원 미만,500억원 이상  1000억원 미만,1000억 원 이상 2000억 원 미만,2000억 원 이상,기타(공공기관)
"합계",소계,32748715,886101,2032003,4451698,25378914,32189349,868857,1691833,1985128,2272069,25186879,184583
"감축",소계,30612616,717132,1913510,4329940,23652034,30245455,665692,1544791,1888987,2195955,23765446,184583
"감축",비재생에너지,128262,21540,16301,26864,63557,50739,8927,809,254,21752,18998,0
"감축",재생에너지,2718478,250764,546339,377333,1544041,3195493,197428,385003,715065,137215,1746450,14332
"감축",신에너지,188219,55785,70661,0,61773,3307693,84169,86642,229540,127922,2779420,0
"감축",에너지저장,10847569,69051,500251,699095,9579172,11797386,89633,254089,278135,198539,10976990,0
"감축",송배전&전력IT,4975952,18439,23852,262393,4671268,2252141,174519,94690,192030,765295,1025607,0
"감축",에너지수요,11685328,278558,738388,2936159,7732223,9621034,108302,719450,473964,945233,7203834,170251
"감축",온실가스 고정,68808,22995,17718,28095,-,20967,2713,4107,-,0,14146,0
"적응",소계,1567451,131337,112649,76153,1247313,1770587,160146,140516,61811,72514,1335600,0
"적응",농업&축산,1380736,96905,22036,53284,1208512,1226029,53176,13745,25445,14013,1119650,0
"적응",물관리,186715,34432,90613,22869,38801,456784,95114,71911,19714,56276,213769,0
"적응",예측?모니터링,-,-,-,-,-,12703,11749,954,-,-,-,0
"적응",해양수산연안,-,-,-,-,-,3070,61,1036,1972,-,-,0
"적응",건강,-,-,-,-,-,72001,45,52870,14679,2225,2181,-
"적응",산림육상,-,-,-,-,-,0,0,0,-,-,-,0
"융복합",소계,568648,37632,5844,45605,479567,173308,43019,6525,34330,3600,85834,0
"융복합",감축 및 적응 융복합,568648,37632,5844,45605,479567,173308,43019,6525,34330,3600,85834,0
