"기후기술분류별(1)",기후기술분류별(2),2019 p),2019 p),2019 p),2019 p),2019 p),2019 p),2020,2020,2020,2020,2020,2020,2020
"기후기술분류별(1)",기후기술분류별(2),전체,100억 원 미만,100억 원 이상 600억 원 미만,600억 원 이상 2000억 원 미만,2000억 원 이상,기타(공공기관),전체,100억 원 미만,100억 원 이상 500억 원 미만,500억 원 이상  1000억 원 미만,1000억 원 이상 2000억 원 미만,2000억 원 이상,기타(공공기관)
"합계",소계,8205879,893335,463525,915236,3724151,2209632,7291494,942395,535934,235295,389279,3262049,1926542
"감축",소계,7124321,711650,395784,889776,3612385,1514726,6202665,609393,464285,217448,385260,3041863,1484416
"감축",비재생에너지,197099,8581,14939,19875,35750,117954,91636,4011,13140,4798,12000,2925,54762
"감축",재생에너지,1451153,264361,81060,430707,459497,215528,1423082,250806,57895,50559,33633,373431,656759
"감축",신에너지,98358,56356,14820,2903,24189,90,185296,16878,23913,21214,17040,96145,10105
"감축",에너지저장,2286649,39397,101412,58708,1901475,185656,1897342,36663,53476,30199,11620,1653836,111548
"감축",송배전&전력IT,190935,51398,44182,25037,34615,35703,563519,40181,80978,61065,167568,80868,132859
"감축",에너지수요,2891118,287370,138768,349825,1156859,958296,2028958,260208,233190,49613,141166,834127,510653
"감축",온실가스 고정,9010,4187,604,2720,-,1500,12833,644,1692,-,2234,532,7731
"적응",소계,961849,135291,53744,23239,54716,694859,975537,284595,61835,16347,3760,166938,442062
"적응",농업&축산,646582,61957,4233,6600,51333,522459,597242,121874,4242,2402,1663,25000,442062
"적응",물관리,315267,73334,49511,16639,3383,172400,282765,99652,25282,13795,2098,141938,0
"적응",예측?모니터링,-,-,-,-,-,-,19374,19374,0,-,-,-,0
"적응",해양수산연안,-,-,-,-,-,-,594,481,13,100,-,-,0
"적응",건강,-,-,-,-,-,-,74424,42276,32098,50,0,0,-
"적응",산림육상,-,-,-,-,-,-,1138,938,200,-,-,-,0
"융복합",소계,119709,46394,13997,2221,57050,47,113292,48407,9814,1500,259,53248,64
"융복합",감축 및 적응 융복합,119709,46394,13997,2221,57050,47,113292,48407,9814,1500,259,53248,64
