"기후기술분류별(1)",기후기술분류별(2),2019 p),2019 p),2020,2020
"기후기술분류별(1)",기후기술분류별(2),특허보유규모 (건),당해연도 특허등록건수 (건),특허보유규모 (건),당해연도 특허등록건수 (건)
"합계",소계,536351,52867,554723,43242
"감축",소계,481747,47134,491880,39081
"감축",비재생에너지,7405,586,7694,1372
"감축",재생에너지,104106,11676,108811,10559
"감축",신에너지,7069,692,7469,704
"감축",에너지저장,70900,7618,74942,12867
"감축",송배전&전력IT,69306,6603,71776,1355
"감축",에너지수요,220916,19739,218645,12143
"감축",온실가스 고정,2045,220,2543,81
"적응",소계,14523,1192,23094,3495
"적응",농업&축산,4347,448,6286,950
"적응",물관리,10176,744,12331,2241
"적응",예측?모니터링,-,-,2457,158
"적응",해양수산연안,-,-,520,80
"적응",건강,-,-,1090,48
"적응",산림육상,-,-,410,18
"융복합",소계,40081,4541,39749,666
"융복합",감축 및 적응 융복합,40081,4541,39749,666
