"기후기술분류별(1)",기후기술분류별(2),2019 p),2019 p),2019 p),2019 p),2019 p),2019 p),2019 p),2019 p),2020,2020,2020,2020,2020,2020,2020,2020
"기후기술분류별(1)",기후기술분류별(2),합계,아시아태평양,서유럽,동유럽,북미,중남미,중동아프리카,기타,합계,아시아태평양,서유럽,동유럽,북미,중남미,중동아프리카,기타
"합계",소계,1980,1813,86,143,485,53,89,410,2296,2517,206,190,563,84,126,317
"감축",소계,1695,1580,75,123,425,33,76,344,1876,2070,179,160,471,49,99,237
"감축",비재생에너지,29,12,3,0,6,0,21,4,20,28,2,5,2,0,6,0
"감축",재생에너지,460,524,22,15,107,14,10,48,515,638,38,15,116,8,15,30
"감축",신에너지,50,44,4,4,22,0,4,13,58,79,22,15,28,9,5,3
"감축",에너지저장,226,181,6,22,59,7,9,68,246,229,17,21,73,6,9,57
"감축",송배전&전력IT,77,56,6,8,33,0,0,22,135,154,45,25,40,0,9,2
"감축",에너지수요,830,742,35,74,193,12,28,190,883,923,51,79,207,26,47,146
"감축",온실가스 고정,24,21,0,0,5,0,3,0,19,19,3,0,5,0,8,0
"적응",소계,225,190,11,21,43,11,10,55,354,392,26,29,72,25,24,70
"적응",농업&축산,107,84,3,15,30,7,2,32,160,156,10,19,45,5,2,45
"적응",물관리,118,106,8,6,13,4,9,23,158,165,8,11,15,10,18,25
"적응",예측?모니터링,-,-,-,-,-,-,-,-,11,18,2,0,3,0,2,0
"적응",해양수산연안,-,-,-,-,-,-,-,-,8,15,0,0,1,3,0,0
"적응",건강,-,-,-,-,-,-,-,-,18,38,5,0,7,7,2,0
"적응",산림육상,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0
"융복합",소계,60,43,0,0,17,10,3,11,66,56,2,0,20,10,3,10
"융복합",감축 및 적응 융복합,60,43,0,0,17,10,3,11,66,56,2,0,20,10,3,10
