"기후기술분류별(1)","기후기술분류별(2)","항목",시점,데이터
"합계","소계","특허보유규모 (건)",2019 p),536351
"합계","소계","특허보유규모 (건)",2020,554723
"합계","소계","당해연도 특허등록건수 (건)",2019 p),52867
"합계","소계","당해연도 특허등록건수 (건)",2020,43242
"감축","소계","특허보유규모 (건)",2019 p),481747
"감축","소계","특허보유규모 (건)",2020,491880
"감축","소계","당해연도 특허등록건수 (건)",2019 p),47134
"감축","소계","당해연도 특허등록건수 (건)",2020,39081
"감축","비재생에너지","특허보유규모 (건)",2019 p),7405
"감축","비재생에너지","특허보유규모 (건)",2020,7694
"감축","비재생에너지","당해연도 특허등록건수 (건)",2019 p),586
"감축","비재생에너지","당해연도 특허등록건수 (건)",2020,1372
"감축","재생에너지","특허보유규모 (건)",2019 p),104106
"감축","재생에너지","특허보유규모 (건)",2020,108811
"감축","재생에너지","당해연도 특허등록건수 (건)",2019 p),11676
"감축","재생에너지","당해연도 특허등록건수 (건)",2020,10559
"감축","신에너지","특허보유규모 (건)",2019 p),7069
"감축","신에너지","특허보유규모 (건)",2020,7469
"감축","신에너지","당해연도 특허등록건수 (건)",2019 p),692
"감축","신에너지","당해연도 특허등록건수 (건)",2020,704
"감축","에너지저장","특허보유규모 (건)",2019 p),70900
"감축","에너지저장","특허보유규모 (건)",2020,74942
"감축","에너지저장","당해연도 특허등록건수 (건)",2019 p),7618
"감축","에너지저장","당해연도 특허등록건수 (건)",2020,12867
"감축","송배전&전력IT","특허보유규모 (건)",2019 p),69306
"감축","송배전&전력IT","특허보유규모 (건)",2020,71776
"감축","송배전&전력IT","당해연도 특허등록건수 (건)",2019 p),6603
"감축","송배전&전력IT","당해연도 특허등록건수 (건)",2020,1355
"감축","에너지수요","특허보유규모 (건)",2019 p),220916
"감축","에너지수요","특허보유규모 (건)",2020,218645
"감축","에너지수요","당해연도 특허등록건수 (건)",2019 p),19739
"감축","에너지수요","당해연도 특허등록건수 (건)",2020,12143
"감축","온실가스 고정","특허보유규모 (건)",2019 p),2045
"감축","온실가스 고정","특허보유규모 (건)",2020,2543
"감축","온실가스 고정","당해연도 특허등록건수 (건)",2019 p),220
"감축","온실가스 고정","당해연도 특허등록건수 (건)",2020,81
"적응","소계","특허보유규모 (건)",2019 p),14523
"적응","소계","특허보유규모 (건)",2020,23094
"적응","소계","당해연도 특허등록건수 (건)",2019 p),1192
"적응","소계","당해연도 특허등록건수 (건)",2020,3495
"적응","농업&축산","특허보유규모 (건)",2019 p),4347
"적응","농업&축산","특허보유규모 (건)",2020,6286
"적응","농업&축산","당해연도 특허등록건수 (건)",2019 p),448
"적응","농업&축산","당해연도 특허등록건수 (건)",2020,950
"적응","물관리","특허보유규모 (건)",2019 p),10176
"적응","물관리","특허보유규모 (건)",2020,12331
"적응","물관리","당해연도 특허등록건수 (건)",2019 p),744
"적응","물관리","당해연도 특허등록건수 (건)",2020,2241
"적응","예측?모니터링","특허보유규모 (건)",2020,2457
"적응","예측?모니터링","당해연도 특허등록건수 (건)",2020,158
"적응","해양수산연안","특허보유규모 (건)",2020,520
"적응","해양수산연안","당해연도 특허등록건수 (건)",2020,80
"적응","건강","특허보유규모 (건)",2020,1090
"적응","건강","당해연도 특허등록건수 (건)",2020,48
"적응","산림육상","특허보유규모 (건)",2020,410
"적응","산림육상","당해연도 특허등록건수 (건)",2020,18
"융복합","소계","특허보유규모 (건)",2019 p),40081
"융복합","소계","특허보유규모 (건)",2020,39749
"융복합","소계","당해연도 특허등록건수 (건)",2019 p),4541
"융복합","소계","당해연도 특허등록건수 (건)",2020,666
"융복합","감축 및 적응 융복합","특허보유규모 (건)",2019 p),40081
"융복합","감축 및 적응 융복합","특허보유규모 (건)",2020,39749
"융복합","감축 및 적응 융복합","당해연도 특허등록건수 (건)",2019 p),4541
"융복합","감축 및 적응 융복합","당해연도 특허등록건수 (건)",2020,666
