국가,연도,평균 사망률,평균 의료 인력 수,1인당 보건지출,평군 소비량,평균 판매량,평균 치료비,평균 복지 비용(G$)
그리스,2003,38.51714285714286,36319.0,2019.09960938,43.70909090909091,4897.5,506.2733333333333,3674.58
그리스,2004,37.84,36133.0,2061.64819336,47.11818181818182,6218.8,575.29,4401.150000000001
그리스,2005,36.39142857142857,36666.0,2194.10546875,31.1,6939.4,625.67,4832.1
그리스,2006,35.16285714285714,35797.0,2358.68310547,36.9,7703.6,648.6866666666666,5302.02
그리스,2007,34.91428571428571,35658.0,2462.73828125,38.9,10673.5,769.2999999999998,6401.85
그리스,2008,33.37428571428571,36197.0,2728.05200195,40.4,11437.6,886.1433333333334,7657.200000000001
그리스,2009,32.425714285714285,37306.0,2859.59790039,37.6,11825.7,898.0100000000001,7886.999999999999
네덜란드,2002,35.559999999999995,126500.0,2987.45800781,34.23636363636364,3870.3,1400.4633333333334,9384.84
네덜란드,2003,34.68571428571428,129800.0,3095.60424805,38.78,4927.5,1806.5733333333335,11923.28
네덜란드,2004,32.90285714285714,132400.0,3264.33325195,37.89,5339.5,2066.61,13406.88
네덜란드,2005,32.02285714285714,133700.0,3425.68286133,40.17,5599.2,2133.22,13633.49
네덜란드,2006,30.465714285714284,134100.0,3723.125,40.94,5885.3,2292.1566666666668,12026.12
네덜란드,2007,29.377142857142857,136000.0,3979.69775391,44.379999999999995,6958.7,2642.22,13305.75
네덜란드,2008,28.634285714285717,138200.0,4316.76904297,46.55,7594.0,3054.3133333333335,14694.0
네덜란드,2014,24.474285714285713,116023.5,5213.53466797,53.5,5750.2,3403.5066666666667,15948.9
네덜란드,2015,24.294285714285717,118742.0,5205.21484375,55.75454545454545,4952.1,2846.0166666666664,13469.28
네덜란드,2016,23.742857142857144,120959.0,5279.84814453,57.99090909090909,5016.8,2919.4133333333334,13711.25
노르웨이,2000,36.879999999999995,15180.0,2857.60083008,42.35,1280.4,5014.72,3492.48
노르웨이,2001,35.71142857142858,15978.0,3037.69995117,42.23636363636364,1384.6,5321.025,3688.8
노르웨이,2002,35.36,38470.5,3429.11572266,44.845454545454544,1751.1,4573.306666666666,4437.849999999999
노르웨이,2003,33.48571428571429,39745.0,3562.25268555,46.71818181818182,2042.3,5491.243333333333,5402.040000000001
노르웨이,2004,32.13428571428572,41300.5,3761.83520508,49.4,2306.8,6042.433333333334,5898.35
노르웨이,2005,30.69714285714286,42936.0,3995.39672852,50.472727272727276,2495.9,6711.96,6394.23
노르웨이,2006,29.545714285714283,44435.0,4299.27099609,51.42727272727273,2572.8,7192.253333333334,6739.200000000001
노르웨이,2007,29.30285714285714,45487.5,4525.13183594,53.4,2917.3,8571.956666666667,7857.64
노르웨이,2008,28.72,46583.5,4945.30029297,54.33636363636364,3062.1,9941.37,8922.390000000001
노르웨이,2009,27.62857142857143,48224.0,5059.64160156,54.3,2894.2,9461.686666666666,8689.5
노르웨이,2010,26.934285714285714,49485.5,5194.49365234,53.054545454545455,2959.9,10259.05,9476.48
노르웨이,2011,26.394285714285715,50991.0,5492.07714844,52.63636363636363,3247.3,11763.576666666668,10763.28
노르웨이,2012,25.571428571428573,52088.5,5774.39208984,52.99090909090909,3231.6,11982.186666666666,10954.25
노르웨이,2013,24.31142857142857,53269.0,6012.88427734,53.27272727272727,3285.1,12560.993333333332,11501.6
노르웨이,2014,23.36,54759.0,6192.90380859,54.22727272727273,3344.7,12580.37,11413.36
노르웨이,2015,22.98,56470.0,6144.08496094,55.08181818181818,2823.5,10547.933333333332,9567.84
덴마크,2000,42.137142857142855,32629.5,2327.61767578,39.54545454545455,1420.2,3579.3333333333335,3907.96
덴마크,2001,41.75714285714286,32861.0,2492.47583008,41.32727272727273,1490.7,3747.8366666666666,4004.64
덴마크,2002,40.50857142857143,33539.0,2670.24316406,42.74545454545454,1740.3,4159.41,4429.28
덴마크,2003,39.56857142857143,33336.0,2744.73413086,44.21818181818182,2193.0,5202.73,5517.93
덴마크,2004,37.96,34241.0,2968.02075195,45.845454545454544,2557.2,6097.606666666667,6310.14
덴마크,2005,36.55714285714286,35009.0,3109.04907227,47.32727272727273,2692.6,6516.336666666666,6665.4
덴마크,2006,35.81428571428572,35267.0,3425.16699219,48.90909090909091,2900.7,7013.95,7072.499999999999
덴마크,2007,33.879999999999995,34826.0,3643.18432617,50.46363636363637,3444.9,8074.570000000001,8272.46
덴마크,2008,32.81428571428572,36071.0,3938.90771484,51.88181818181818,3891.4,9215.293333333333,9294.42
덴마크,2009,31.8,37138.0,4318.35107422,52.60909090909092,3804.0,9439.613333333333,9411.16
덴마크,2010,31.094285714285714,37575.5,4456.9453125,54.06363636363637,3702.2,9117.853333333334,9531.2
덴마크,2011,28.994285714285713,38054.0,4516.29785156,54.58181818181818,3761.9,9647.053333333333,10251.2
덴마크,2012,28.362857142857145,38576.0,4597.62304688,54.86363636363637,3463.6,9259.816666666668,9780.29
덴마크,2013,27.397142857142857,38751.5,4762.36132813,54.66363636363636,3561.9,9649.82,10273.64
덴마크,2014,26.297142857142855,38971.0,4886.55126953,54.190909090909095,3736.9,9913.783333333333,10554.7
덴마크,2015,25.86,39352.0,5038.36425781,55.16363636363636,3186.7,8521.993333333334,9050.73
독일,2000,41.32857142857143,543934.5,2691.4387207,33.8,17856.0,6073.886666666666,49549.05
독일,2001,39.97428571428571,550078.5,2818.55883789,35.739999999999995,19074.7,6044.513333333333,49574.55
독일,2002,39.854285714285716,556980.5,2973.17578125,37.17999999999999,21454.0,6585.316666666667,54197.32
독일,2003,39.494285714285716,566821.5,3107.49926758,39.089999999999996,27284.8,8089.376666666667,66396.26
독일,2004,37.08571428571429,572222.0,3175.63745117,34.769999999999996,26955.7,9066.890000000001,73039.2
독일,2005,36.1,579006.0,3277.19799805,37.56,29312.5,9146.776666666667,75129.12
독일,2006,34.417142857142856,585051.0,3471.18798828,38.79,29747.4,9510.476666666667,75104.22
독일,2007,33.362857142857145,592401.5,3641.59936523,42.67999999999999,34681.5,10724.63,82793.04
독일,2008,32.614285714285714,602361.5,3870.04907227,45.92,39235.6,11884.116666666667,91012.0
독일,2009,31.962857142857143,615700.0,4133.01025391,48.13,39750.4,11920.150000000001,91061.04
독일,2010,31.094285714285714,622822.5,4320.84082031,49.660000000000004,39406.5,11783.69,88306.40000000001
독일,2011,30.014285714285716,632111.5,4587.42529297,51.4,41363.6,12702.796666666667,92486.68
독일,2012,29.52285714285714,639695.0,4708.95410156,54.75,39111.5,12128.096666666666,87124.31
독일,2013,30.26857142857143,660203.5,4953.15527344,55.56,41867.7,13002.016666666665,92570.96
