국가,질병명,연도,성별,사망률,국가영문,위도,경도
한국,특정감염성 및 기생충성질환,1998,남자,24.6,korea,37.00000000,127.50000000
한국,특정감염성 및 기생충성질환,1998,여자,8.8,korea,37.00000000,127.50000000
한국, 호흡기결핵,1998,남자,15.8,korea,37.00000000,127.50000000
한국, 호흡기결핵,1998,여자,4.1,korea,37.00000000,127.50000000
한국,악성신생물(암),1998,남자,196.2,korea,37.00000000,127.50000000
한국,악성신생물(암),1998,여자,78.4,korea,37.00000000,127.50000000
한국, 위,1998,남자,44.6,korea,37.00000000,127.50000000
한국, 위,1998,여자,16.8,korea,37.00000000,127.50000000
한국, 간 및 간내 쓸개관,1998,남자,38.4,korea,37.00000000,127.50000000
한국, 간 및 간내 쓸개관,1998,여자,9.7,korea,37.00000000,127.50000000
한국, 기관·기관지 및 폐,1998,남자,45.5,korea,37.00000000,127.50000000
한국, 기관·기관지 및 폐,1998,여자,10.5,korea,37.00000000,127.50000000
한국, 유방,1998,여자,4.1,korea,37.00000000,127.50000000
한국,당뇨병,1998,남자,31.9,korea,37.00000000,127.50000000
한국,당뇨병,1998,여자,20.9,korea,37.00000000,127.50000000
한국,순환기계통의 질환,1998,남자,196.5,korea,37.00000000,127.50000000
한국,순환기계통의 질환,1998,여자,127.6,korea,37.00000000,127.50000000
한국, 고혈압성질환,1998,남자,12.2,korea,37.00000000,127.50000000
한국, 고혈압성질환,1998,여자,10.0,korea,37.00000000,127.50000000
한국, 허혈성심질환,1998,남자,28.2,korea,37.00000000,127.50000000
한국, 허혈성심질환,1998,여자,13.7,korea,37.00000000,127.50000000
한국, 뇌혈관질환,1998,남자,117.5,korea,37.00000000,127.50000000
한국, 뇌혈관질환,1998,여자,78.8,korea,37.00000000,127.50000000
한국,호흡기계통의 질환,1998,남자,56.2,korea,37.00000000,127.50000000
한국,호흡기계통의 질환,1998,여자,23.1,korea,37.00000000,127.50000000
한국,소화기계통의 질환,1998,남자,62.5,korea,37.00000000,127.50000000
한국,소화기계통의 질환,1998,여자,18.3,korea,37.00000000,127.50000000
한국, 간질환,1998,남자,46.1,korea,37.00000000,127.50000000
한국, 간질환,1998,여자,9.7,korea,37.00000000,127.50000000
한국,사망의 외부요인,1998,남자,106.4,korea,37.00000000,127.50000000
한국,사망의 외부요인,1998,여자,36.9,korea,37.00000000,127.50000000
한국, 운수사고,1998,남자,40.6,korea,37.00000000,127.50000000
한국, 운수사고,1998,여자,12.8,korea,37.00000000,127.50000000
한국, 고의적 자해(자살),1998,남자,27.2,korea,37.00000000,127.50000000
한국, 고의적 자해(자살),1998,여자,9.6,korea,37.00000000,127.50000000
한국,특정감염성 및 기생충성질환,1999,남자,22.0,korea,37.00000000,127.50000000
한국,특정감염성 및 기생충성질환,1999,여자,7.7,korea,37.00000000,127.50000000
한국, 호흡기결핵,1999,남자,14.8,korea,37.00000000,127.50000000
한국, 호흡기결핵,1999,여자,3.7,korea,37.00000000,127.50000000
한국,악성신생물(암),1999,남자,201.8,korea,37.00000000,127.50000000
한국,악성신생물(암),1999,여자,80.9,korea,37.00000000,127.50000000
한국, 위,1999,남자,42.7,korea,37.00000000,127.50000000
한국, 위,1999,여자,17.1,korea,37.00000000,127.50000000
