,항목,연도,데이터값,사망률
,,,sum,mean
0,1인당 보건지출(PPP)(US$),2008,1612.57958984,32.96857142857143
1,1인당 보건지출(PPP)(US$),2009,1712.75048828,31.73142857142857
2,1인당 보건지출(PPP)(US$),2010,1878.5135498,31.257142857142856
3,1인당 보건지출(PPP)(US$),2011,1961.46411133,30.03142857142857
4,1인당 보건지출(PPP)(US$),2012,2063.65405273,29.360000000000003
5,1인당 보건지출(PPP)(US$),2013,2143.08325195,27.61714285714286
6,1인당 보건지출(PPP)(US$),2014,2293.31298828,26.445714285714285
7,1인당 보건지출(PPP)(US$),2015,2531.3984375,25.614285714285714
8,1인당 보건지출(PPP)(US$),2016,2748.36791992,36.53333333333333
9,1인당 보건지출(PPP)(US$),2017,2929.06567383,36.583333333333336
10,1인당 보건지출(PPP)(US$),2018,3213.66333008,37.577777777777776
11,1인당 보건지출(US$),2008,1149.70861816,32.96857142857143
12,1인당 보건지출(US$),2009,1106.06408691,31.73142857142857
13,1인당 보건지출(US$),2010,1366.38439941,31.257142857142856
14,1인당 보건지출(US$),2011,1512.45251465,30.03142857142857
15,1인당 보건지출(US$),2012,1566.12280273,29.360000000000003
16,1인당 보건지출(US$),2013,1701.15441895,27.61714285714286
17,1인당 보건지출(US$),2014,1898.92089844,26.445714285714285
18,1인당 보건지출(US$),2015,1918.68969727,25.614285714285714
19,1인당 보건지출(US$),2016,2034.43676758,36.53333333333333
20,1인당 보건지출(US$),2017,2258.66821289,36.583333333333336
21,1인당 보건지출(US$),2018,2542.81811523,37.577777777777776
