국가,연도,의약품,의약품소비량,의약품판매량
한국,2008,소화관 및 신진대사,263.6,15821.1
한국,2008,제산제,2.2,15821.1
한국,2008,소화성궤양 및 위장용 약물,33.1,15821.1
한국,2008,당뇨 약물,59.8,15821.1
한국,2008,심장 배당체,1.5,15821.1
한국,2008,항 부정맥제,0.6,15821.1
한국,2008,이뇨제,20.5,15821.1
한국,2008,향균제,26.9,15821.1
한국,2008,진통제,15.1,15821.1
한국,2008,수면제 및 진정제,5.4,15821.1
한국,2008,항우울제,7.9,15821.1
한국,2009,소화관 및 신진대사,288.8,14736.8
한국,2009,제산제,3.0,14736.8
한국,2009,소화성궤양 및 위장용 약물,32.9,14736.8
한국,2009,당뇨 약물,68.1,14736.8
한국,2009,심장 배당체,1.4,14736.8
한국,2009,항 부정맥제,0.6,14736.8
한국,2009,이뇨제,20.2,14736.8
한국,2009,향균제,26.9,14736.8
한국,2009,진통제,12.0,14736.8
한국,2009,수면제 및 진정제,7.4,14736.8
한국,2009,항우울제,10.8,14736.8
한국,2010,소화관 및 신진대사,278.1,17573.3
한국,2010,제산제,2.9,17573.3
한국,2010,소화성궤양 및 위장용 약물,34.6,17573.3
한국,2010,당뇨 약물,65.5,17573.3
한국,2010,심장 배당체,1.4,17573.3
한국,2010,항 부정맥제,0.7,17573.3
한국,2010,이뇨제,19.2,17573.3
한국,2010,향균제,27.5,17573.3
한국,2010,진통제,11.8,17573.3
한국,2010,수면제 및 진정제,7.7,17573.3
한국,2010,항우울제,11.3,17573.3
한국,2011,소화관 및 신진대사,240.6,19900.7
한국,2011,제산제,3.7,19900.7
한국,2011,소화성궤양 및 위장용 약물,37.8,19900.7
한국,2011,당뇨 약물,64.1,19900.7
한국,2011,심장 배당체,1.4,19900.7
한국,2011,항 부정맥제,0.9,19900.7
한국,2011,이뇨제,20.3,19900.7
한국,2011,향균제,29.1,19900.7
한국,2011,진통제,11.7,19900.7
한국,2011,수면제 및 진정제,8.1,19900.7
한국,2011,항우울제,13.8,19900.7
한국,2012,소화관 및 신진대사,245.7,19289.9
한국,2012,제산제,3.6,19289.9
한국,2012,소화성궤양 및 위장용 약물,39.9,19289.9
한국,2012,당뇨 약물,64.3,19289.9
한국,2012,심장 배당체,1.4,19289.9
한국,2012,항 부정맥제,0.9,19289.9
한국,2012,이뇨제,19.0,19289.9
한국,2012,향균제,29.8,19289.9
한국,2012,진통제,12.4,19289.9
한국,2012,수면제 및 진정제,8.4,19289.9
한국,2012,항우울제,15.2,19289.9
한국,2013,소화관 및 신진대사,330.9,20600.1
한국,2013,제산제,4.1,20600.1
한국,2013,소화성궤양 및 위장용 약물,42.3,20600.1
한국,2013,당뇨 약물,65.4,20600.1
한국,2013,심장 배당체,1.4,20600.1
한국,2013,항 부정맥제,0.9,20600.1
한국,2013,이뇨제,18.7,20600.1
한국,2013,향균제,30.1,20600.1
한국,2013,진통제,12.8,20600.1
한국,2013,수면제 및 진정제,9.5,20600.1
한국,2013,항우울제,17.0,20600.1
한국,2014,소화관 및 신진대사,422.9,22481.2
한국,2014,제산제,4.5,22481.2
한국,2014,소화성궤양 및 위장용 약물,45.2,22481.2
한국,2014,당뇨 약물,60.8,22481.2
한국,2014,심장 배당체,1.3,22481.2
한국,2014,항 부정맥제,1.0,22481.2
한국,2014,이뇨제,17.9,22481.2
한국,2014,향균제,31.7,22481.2
한국,2014,진통제,13.6,22481.2
한국,2014,수면제 및 진정제,10.1,22481.2
한국,2014,항우울제,18.0,22481.2
한국,2015,소화관 및 신진대사,370.0,21758.1
한국,2015,제산제,4.7,21758.1
한국,2015,소화성궤양 및 위장용 약물,46.1,21758.1
한국,2015,당뇨 약물,61.7,21758.1
한국,2015,심장 배당체,1.2,21758.1
한국,2015,항 부정맥제,1.1,21758.1
한국,2015,이뇨제,17.4,21758.1
한국,2015,향균제,31.5,21758.1
한국,2015,진통제,13.3,21758.1
한국,2015,수면제 및 진정제,10.8,21758.1
한국,2015,항우울제,20.3,21758.1
한국,2016,소화관 및 신진대사,217.5,21876.6
한국,2016,제산제,3.1,21876.6
한국,2016,소화성궤양 및 위장용 약물,41.8,21876.6
한국,2016,당뇨 약물,60.3,21876.6
한국,2016,심장 배당체,1.1,21876.6
한국,2016,항 부정맥제,1.1,21876.6
한국,2016,이뇨제,14.7,21876.6
한국,2016,향균제,30.3,21876.6
한국,2016,진통제,11.9,21876.6
한국,2016,수면제 및 진정제,10.0,21876.6
한국,2016,항우울제,17.2,21876.6
한국,2017,소화관 및 신진대사,219.3,23834.8
한국,2017,제산제,3.2,23834.8
한국,2017,소화성궤양 및 위장용 약물,43.0,23834.8
한국,2017,당뇨 약물,63.1,23834.8
한국,2017,심장 배당체,1.0,23834.8
한국,2017,항 부정맥제,1.3,23834.8
한국,2017,이뇨제,14.6,23834.8
한국,2017,향균제,29.0,23834.8
한국,2017,진통제,11.9,23834.8
한국,2017,수면제 및 진정제,10.3,23834.8
한국,2017,항우울제,18.8,23834.8
한국,2018,소화관 및 신진대사,223.5,26262.7
한국,2018,제산제,3.5,26262.7
한국,2018,소화성궤양 및 위장용 약물,46.8,26262.7
한국,2018,당뇨 약물,65.2,26262.7
한국,2018,심장 배당체,0.9,26262.7
한국,2018,항 부정맥제,1.4,26262.7
한국,2018,이뇨제,14.6,26262.7
한국,2018,향균제,29.8,26262.7
한국,2018,진통제,12.2,26262.7
한국,2018,수면제 및 진정제,11.0,26262.7
한국,2018,항우울제,21.0,26262.7
한국,2019,소화관 및 신진대사,256.0,26628.3
한국,2019,제산제,3.7,26628.3
한국,2019,소화성궤양 및 위장용 약물,61.2,26628.3
한국,2019,당뇨 약물,67.8,26628.3
한국,2019,심장 배당체,0.9,26628.3
한국,2019,항 부정맥제,1.6,26628.3
한국,2019,이뇨제,14.4,26628.3
한국,2019,향균제,26.1,26628.3
한국,2019,진통제,12.3,26628.3
한국,2019,수면제 및 진정제,11.6,26628.3
한국,2019,항우울제,23.4,26628.3
일본,2011,향균제,13.3,87553.3
일본,2012,향균제,14.0,87437.9
일본,2013,향균제,14.0,70638.5
터키,2008,소화관 및 신진대사,118.7,10367.3
터키,2008,제산제,2.5,10367.3
터키,2008,소화성궤양 및 위장용 약물,38.3,10367.3
터키,2008,당뇨 약물,36.9,10367.3
터키,2008,심장 배당체,2.4,10367.3
터키,2008,항 부정맥제,0.6,10367.3
터키,2008,이뇨제,6.3,10367.3
터키,2008,향균제,35.7,10367.3
터키,2008,진통제,7.8,10367.3
터키,2008,수면제 및 진정제,0.0,10367.3
터키,2008,항우울제,27.8,10367.3
터키,2009,소화관 및 신진대사,125.9,10052.7
터키,2009,제산제,2.6,10052.7
터키,2009,소화성궤양 및 위장용 약물,37.9,10052.7
터키,2009,당뇨 약물,41.0,10052.7
터키,2009,심장 배당체,2.2,10052.7
터키,2009,항 부정맥제,0.7,10052.7
터키,2009,이뇨제,6.5,10052.7
터키,2009,향균제,37.9,10052.7
터키,2009,진통제,7.7,10052.7
터키,2009,수면제 및 진정제,0.0,10052.7
터키,2009,항우울제,29.1,10052.7
터키,2010,소화관 및 신진대사,147.0,10372.8
터키,2010,제산제,2.5,10372.8
터키,2010,소화성궤양 및 위장용 약물,45.9,10372.8
터키,2010,당뇨 약물,47.5,10372.8
