"국가별","항목","단위","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년",
"한국","경상(GDP 대비%)","","","","3.89759398","4.4276228","4.16491032","4.4238739","4.38896513","4.61782169","4.94396782","5.11490726","5.39896727","5.78228998","5.91734409","6.00844383","6.13262033","6.24789429","6.47438097","6.65271664","6.91432714","7.10694933","7.56259203",
"한국","공공(경상보건비 대비%)","","","","50.32753754","55.93570328","56.50645447","56.01356506","56.71951294","57.04932404","59.00263977","58.94402313","57.24280548","59.17844772","59.3479805","58.56443787","57.66638565","57.83752823","57.3246727","57.35556412","57.52185059","57.9135704","58.45679474",
"한국","1인당 보건지출(US$)","","","","473.98675537","508.28076172","544.26074219","644.14923096","717.87432861","886.47064209","1065.26647949","1223.17443848","1149.70861816","1106.06408691","1366.38439941","1512.45251465","1566.12280273","1701.15441895","1898.92089844","1918.68969727","2034.43676758","2258.66821289","2542.81811523",
"한국","외부보건비(경상보건비 대비%)","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"아프가니스탄","경상(GDP 대비%)","","","","","","9.44338989","8.94125843","9.80847359","9.94828987","10.62276554","9.90467453","10.25649548","9.81848717","8.56967163","8.56190681","7.89716816","8.80596447","9.52887821","10.10534763","10.96199989","11.77723598","9.39572716",
"아프가니스탄","공공(경상보건비 대비%)","","","","","",".89142376","7.28044415","5.53527164","5.31934786","4.6865387","5.65336657","6.12099695","5.41736698","5.47462463","5.60622501","4.34189463","5.03476191","4.96025801","5.17223978","5.0778451","5.09581852","5.17229605",
"아프가니스탄","1인당 보건지출(US$)","","","","","","15.80316353","17.03574371","20.4127636","23.89050102","27.83657074","31.27183914","38.10266113","41.72274399","44.99053192","50.85347366","51.44026184","55.03462982","59.00893402","58.90652847","60.18867111","65.70602417","49.84260941",
"아프가니스탄","외부보건비(경상보건비 대비%)","","","","","","13.73297119","6.65036345","9.9371376","15.71056557","18.48848534","16.17664719","18.47561455","21.8033886","15.52872467","21.13860512","21.17189598","22.91737556","21.98381996","16.44546318","18.94781876","19.42013359","16.44491768",
"아르메니아","경상(GDP 대비%)","","","","4.19581175","4.64563894","7.61358738","7.17936134","6.05510092","5.8618803","5.85007095","5.49814034","6.63976574","8.44377613","9.23538303","9.37588787","9.13455009","10.32345009","10.17827797","10.1176281","9.95195866","10.36270523","10.02538967",
"아르메니아","공공(경상보건비 대비%)","","","","22.7532177","28.82457352","15.39143753","16.80312729","21.37230873","25.22076416","27.11775017","29.35340118","22.41243935","21.4559288","18.25899696","17.84222031","17.27693176","13.32556438","14.79110718","15.91488075","16.45247269","13.24466896","12.34010601",
"아르메니아","1인당 보건지출(US$)","","","","26.12908936","32.25933838","59.63238907","66.77802277","72.17178345","96.35484314","126.25294495","172.60186768","266.31158447","252.83560181","297.22906494","330.57556152","336.32055664","396.23254395","405.72888184","364.97280884","357.45776367","405.6506958","422.28268433",
"아르메니아","외부보건비(경상보건비 대비%)","","","","12.77933121","18.01124001","7.93093824","5.22895432","5.45582008","11.67522335","11.57289124","12.21758938","5.88885784","4.58921719","3.72884226","3.15005517","2.96057177","2.07229877","1.52948999","1.08290088","1.8710475","1.2871294","1.21678329",
