,대륙,국가,공통국가여부,항목구분,연도,값(백만 자국화폐),전년대비증감,key_currency_x,key_currency_ext,환율(자국화폐단위/$),서비스비용(백만$)
0,아시아,한국,공통,보건 당기 지출,1998,19631167.0,495798.0,1998한국,1998한국,1394.97,14072.82
1,아시아,한국,공통,보건 당기 지출,1999,22747522.0,3116355.0,1999한국,1999한국,1188.65,19137.28
2,아시아,한국,공통,보건 당기 지출,2000,25398063.0,2650541.0,2000한국,2000한국,1131.12,22453.91
3,아시아,한국,공통,보건 당기 지출,2001,31304431.0,5906368.0,2001한국,2001한국,1290.99,24248.39
4,아시아,한국,공통,보건 당기 지출,2002,32683951.0,1379520.0,2002한국,2002한국,1250.65,26133.57
5,아시아,한국,공통,보건 당기 지출,2003,37044135.0,4360184.0,2003한국,2003한국,1191.85,31081.21
6,아시아,한국,공통,보건 당기 지출,2004,39871217.0,2827082.0,2004한국,2004한국,1143.74,34860.39
7,아시아,한국,공통,보건 당기 지출,2005,44204707.0,4333490.0,2005한국,2005한국,1024.13,43163.18
8,아시아,한국,공통,보건 당기 지출,2006,49716681.0,5511975.0,2006한국,2006한국,955.08,52054.99
9,아시아,한국,공통,보건 당기 지출,2007,55735128.0,6018447.0,2007한국,2007한국,929.16,59984.42
10,아시아,한국,공통,보건 당기 지출,2008,62315514.0,6580385.0,2008한국,2008한국,1103.36,56477.95
11,아시아,한국,공통,보건 당기 지출,2009,69696729.0,7381216.0,2009한국,2009한국,1276.35,54606.28
12,아시아,한국,공통,보건 당기 지출,2010,78263501.0,8566771.0,2010한국,2010한국,1156.0,67701.99
13,아시아,한국,공통,보건 당기 지출,2011,83453507.0,5190007.0,2011한국,2011한국,1107.99,75319.73
14,아시아,한국,공통,보건 당기 지출,2012,88316619.0,4863112.0,2012한국,2012한국,1126.76,78381.04
15,아시아,한국,공통,보건 당기 지출,2013,93783840.0,5467220.0,2013한국,2013한국,1095.04,85644.21
16,아시아,한국,공통,보건 당기 지출,2014,101258001.0,7474162.0,2014한국,2014한국,1053.12,96150.49
17,아시아,한국,공통,보건 당기 지출,2015,110392775.0,9134774.0,2015한국,2015한국,1131.52,97561.49
18,아시아,한국,공통,보건 당기 지출,2016,120463580.0,10070804.0,2016한국,2016한국,1160.41,103811.22
19,아시아,한국,공통,보건 당기 지출,2017,130070247.0,9606668.0,2017한국,2017한국,1130.48,115057.54
20,아시아,한국,공통,보건 당기 지출,2018,142740583.0,12670336.0,2018한국,2018한국,1100.58,129695.78
21,아시아,한국,공통,보건 당기 지출,2019,156673593.0,13933010.0,2019한국,2019한국,1166.11,134355.76
22,아시아,한국,공통,치료 및 재활 치료,1998,12967407.0,507545.0,1998한국,1998한국,1394.97,9295.83
23,아시아,한국,공통,치료 및 재활 치료,1999,15284614.0,2317207.0,1999한국,1999한국,1188.65,12858.8
24,아시아,한국,공통,치료 및 재활 치료,2000,16531694.0,1247080.0,2000한국,2000한국,1131.12,14615.33
25,아시아,한국,공통,치료 및 재활 치료,2001,19789459.0,3257764.0,2001한국,2001한국,1290.99,15328.9
26,아시아,한국,공통,치료 및 재활 치료,2002,20276363.0,486904.0,2002한국,2002한국,1250.65,16212.66
27,아시아,한국,공통,치료 및 재활 치료,2003,22589920.0,2313557.0,2003한국,2003한국,1191.85,18953.66
28,아시아,한국,공통,치료 및 재활 치료,2004,24282660.0,1692740.0,2004한국,2004한국,1143.74,21230.93
29,아시아,한국,공통,치료 및 재활 치료,2005,26941018.0,2658358.0,2005한국,2005한국,1024.13,26306.25
30,아시아,한국,공통,치료 및 재활 치료,2006,29825990.0,2884972.0,2006한국,2006한국,955.08,31228.79
31,아시아,한국,공통,치료 및 재활 치료,2007,33177258.0,3351268.0,2007한국,2007한국,929.16,35706.72
32,아시아,한국,공통,치료 및 재활 치료,2008,37042946.0,3865689.0,2008한국,2008한국,1103.36,33572.86
33,아시아,한국,공통,치료 및 재활 치료,2009,39831411.0,2788465.0,2009한국,2009한국,1276.35,31207.28
34,아시아,한국,공통,치료 및 재활 치료,2010,44002302.0,4170891.0,2010한국,2010한국,1156.0,38064.28
35,아시아,한국,공통,치료 및 재활 치료,2011,46944012.0,2941710.0,2011한국,2011한국,1107.99,42368.62
36,아시아,한국,공통,치료 및 재활 치료,2012,50118712.0,3174700.0,2012한국,2012한국,1126.76,44480.38
37,아시아,한국,공통,치료 및 재활 치료,2013,53407809.0,3289097.0,2013한국,2013한국,1095.04,48772.47
38,아시아,한국,공통,치료 및 재활 치료,2014,57366326.0,3958517.0,2014한국,2014한국,1053.12,54472.73
39,아시아,한국,공통,치료 및 재활 치료,2015,62254879.0,4888553.0,2015한국,2015한국,1131.52,55018.81
40,아시아,한국,공통,치료 및 재활 치료,2016,67944355.0,5689477.0,2016한국,2016한국,1160.41,58552.02
41,아시아,한국,공통,치료 및 재활 치료,2017,72758637.0,4814281.0,2017한국,2017한국,1130.48,64360.84
42,아시아,한국,공통,치료 및 재활 치료,2018,80505650.0,7747014.0,2018한국,2018한국,1100.58,73148.39
43,아시아,한국,공통,치료 및 재활 치료,2019,88584624.0,8078974.0,2019한국,2019한국,1166.11,75965.92
44,아시아,한국,공통,장기 치료,1998,43709.0,10798.0,1998한국,1998한국,1394.97,31.33
45,아시아,한국,공통,장기 치료,1999,71924.0,28215.0,1999한국,1999한국,1188.65,60.51
46,아시아,한국,공통,장기 치료,2000,87608.0,15684.0,2000한국,2000한국,1131.12,77.45
47,아시아,한국,공통,장기 치료,2001,183899.0,96292.0,2001한국,2001한국,1290.99,142.45
48,아시아,한국,공통,장기 치료,2002,204616.0,20717.0,2002한국,2002한국,1250.65,163.61
49,아시아,한국,공통,장기 치료,2003,289407.0,84791.0,2003한국,2003한국,1191.85,242.82
50,아시아,한국,공통,장기 치료,2004,446892.0,157485.0,2004한국,2004한국,1143.74,390.73
51,아시아,한국,공통,장기 치료,2005,760140.0,313247.0,2005한국,2005한국,1024.13,742.23
52,아시아,한국,공통,장기 치료,2006,1288954.0,528815.0,2006한국,2006한국,955.08,1349.58
53,아시아,한국,공통,장기 치료,2007,2085241.0,796286.0,2007한국,2007한국,929.16,2244.22
