,대륙,국가,공통국가여부,연도,값(% of gdp),전년대비증감,key_gdp,GDP(10억$),복지비용(10억$)
22,아시아,한국,공통,1998,4.7,1.3,한국1998,384.0,1804.8000000000002
23,아시아,한국,공통,1999,5.6,0.9,한국1999,497.2,2784.3199999999997
24,아시아,한국,공통,2000,4.4,-1.2,한국2000,576.4,2536.1600000000003
25,아시아,한국,공통,2001,4.8,0.4,한국2001,547.7,2628.96
26,아시아,한국,공통,2002,4.7,-0.1,한국2002,627.2,2947.84
27,아시아,한국,공통,2003,4.9,0.3,한국2003,702.6,3442.7400000000002
28,아시아,한국,공통,2004,5.5,0.6,한국2004,793.6,4364.8
29,아시아,한국,공통,2005,5.9,0.3,한국2005,934.7,5514.7300000000005
30,아시아,한국,공통,2006,6.7,0.8,한국2006,1052.4,7051.080000000001
31,아시아,한국,공통,2007,6.8,0.1,한국2007,1172.7,7974.36
32,아시아,한국,공통,2008,7.3,0.5,한국2008,1046.8,7641.639999999999
33,아시아,한국,공통,2009,8.1,0.8,한국2009,944.3,7648.829999999999
34,아시아,한국,공통,2010,7.9,-0.2,한국2010,1143.9,9036.810000000001
35,아시아,한국,공통,2011,7.8,0.0,한국2011,1253.4,9776.52
36,아시아,한국,공통,2012,8.3,0.5,한국2012,1278.0,10607.400000000001
37,아시아,한국,공통,2013,8.8,0.5,한국2013,1370.6,12061.28
38,아시아,한국,공통,2014,9.2,0.4,한국2014,1484.0,13652.8
39,아시아,한국,공통,2015,9.6,0.4,한국2015,1465.3,14066.88
40,아시아,한국,공통,2016,9.9,0.2,한국2016,1500.0,14850.0
41,아시아,한국,공통,2017,10.1,0.2,한국2017,1623.3,16395.329999999998
42,아시아,한국,공통,2018,10.8,0.7,한국2018,1725.2,18632.160000000003
43,아시아,한국,공통,2019,12.2,1.4,한국2019,1651.0,20142.199999999997
44,아시아,이스라엘,해당아님,1998,16.5,-0.3,이스라엘1998,116.2,1917.3
45,아시아,이스라엘,해당아님,1999,16.4,-0.1,이스라엘1999,117.4,1925.36
