국가,연도,직업,수,국가영문,위도,경도
한국,1998,의사,58684.0,korea,37.00000000,127.50000000
한국,1998,치과의사,12875.0,korea,37.00000000,127.50000000
한국,1998,간호사,128427.0,korea,37.00000000,127.50000000
한국,1999,의사,61182.0,korea,37.00000000,127.50000000
한국,1999,치과의사,14058.0,korea,37.00000000,127.50000000
한국,1999,간호사,135923.0,korea,37.00000000,127.50000000
한국,2000,의사,60895.0,korea,37.00000000,127.50000000
한국,2000,치과의사,14410.0,korea,37.00000000,127.50000000
한국,2000,간호사,140288.0,korea,37.00000000,127.50000000
한국,2001,의사,65715.0,korea,37.00000000,127.50000000
한국,2001,치과의사,14729.0,korea,37.00000000,127.50000000
한국,2001,간호사,151351.0,korea,37.00000000,127.50000000
한국,2002,의사,70923.0,korea,37.00000000,127.50000000
한국,2002,치과의사,15626.0,korea,37.00000000,127.50000000
한국,2002,간호사,163203.0,korea,37.00000000,127.50000000
한국,2003,의사,75045.0,korea,37.00000000,127.50000000
한국,2003,치과의사,16033.0,korea,37.00000000,127.50000000
한국,2003,간호사,169555.0,korea,37.00000000,127.50000000
한국,2004,의사,75236.0,korea,37.00000000,127.50000000
한국,2004,약사,29876.0,korea,37.00000000,127.50000000
한국,2004,치과의사,17085.0,korea,37.00000000,127.50000000
한국,2004,간호사,182612.0,korea,37.00000000,127.50000000
한국,2005,의사,78342.0,korea,37.00000000,127.50000000
한국,2005,약사,30600.0,korea,37.00000000,127.50000000
한국,2005,치과의사,17771.0,korea,37.00000000,127.50000000
한국,2005,간호사,185195.0,korea,37.00000000,127.50000000
한국,2006,의사,81666.0,korea,37.00000000,127.50000000
한국,2006,약사,31237.0,korea,37.00000000,127.50000000
한국,2006,치과의사,18515.0,korea,37.00000000,127.50000000
한국,2006,간호사,192753.0,korea,37.00000000,127.50000000
한국,2007,의사,84464.0,korea,37.00000000,127.50000000
한국,2007,약사,31265.0,korea,37.00000000,127.50000000
한국,2007,치과의사,19092.0,korea,37.00000000,127.50000000
한국,2007,간호사,201492.0,korea,37.00000000,127.50000000
한국,2008,의사,90532.0,korea,37.00000000,127.50000000
한국,2008,약사,31635.0,korea,37.00000000,127.50000000
한국,2008,치과의사,19751.0,korea,37.00000000,127.50000000
한국,2008,간호사,212138.0,korea,37.00000000,127.50000000
한국,2009,의사,94672.0,korea,37.00000000,127.50000000
한국,2009,약사,31994.0,korea,37.00000000,127.50000000
한국,2009,치과의사,20415.0,korea,37.00000000,127.50000000
한국,2009,간호사,219675.0,korea,37.00000000,127.50000000
한국,2010,의사,98293.0,korea,37.00000000,127.50000000
한국,2010,약사,32152.0,korea,37.00000000,127.50000000
한국,2010,치과의사,20936.0,korea,37.00000000,127.50000000
한국,2010,간호사,228614.0,korea,37.00000000,127.50000000
한국,2011,의사,101370.0,korea,37.00000000,127.50000000
한국,2011,약사,33643.0,korea,37.00000000,127.50000000
한국,2011,치과의사,21410.0,korea,37.00000000,127.50000000
한국,2011,간호사,235116.0,korea,37.00000000,127.50000000
한국,2012,의사,104114.0,korea,37.00000000,127.50000000
한국,2012,약사,32560.0,korea,37.00000000,127.50000000
한국,2012,치과의사,21888.0,korea,37.00000000,127.50000000
한국,2012,간호사,242249.0,korea,37.00000000,127.50000000
한국,2013,의사,108909.0,korea,37.00000000,127.50000000
한국,2013,약사,32537.0,korea,37.00000000,127.50000000
한국,2013,치과의사,22482.0,korea,37.00000000,127.50000000
한국,2013,간호사,262001.0,korea,37.00000000,127.50000000
한국,2014,의사,111694.0,korea,37.00000000,127.50000000
한국,2014,약사,32645.0,korea,37.00000000,127.50000000
한국,2014,치과의사,22952.0,korea,37.00000000,127.50000000
한국,2014,간호사,282846.0,korea,37.00000000,127.50000000
한국,2015,의사,114322.0,korea,37.00000000,127.50000000
한국,2015,약사,33206.0,korea,37.00000000,127.50000000
한국,2015,치과의사,23540.0,korea,37.00000000,127.50000000
한국,2015,간호사,303133.0,korea,37.00000000,127.50000000
한국,2016,의사,117450.0,korea,37.00000000,127.50000000
한국,2016,약사,33946.0,korea,37.00000000,127.50000000
한국,2016,치과의사,24150.0,korea,37.00000000,127.50000000
한국,2016,간호사,349679.0,korea,37.00000000,127.50000000
한국,2017,의사,120630.0,korea,37.00000000,127.50000000
한국,2017,약사,36980.0,korea,37.00000000,127.50000000
한국,2017,치과의사,25300.0,korea,37.00000000,127.50000000
한국,2017,간호사,356880.0,korea,37.00000000,127.50000000
한국,2018,의사,123230.0,korea,37.00000000,127.50000000
한국,2018,약사,37837.0,korea,37.00000000,127.50000000
한국,2018,치과의사,25792.0,korea,37.00000000,127.50000000
한국,2018,간호사,373601.0,korea,37.00000000,127.50000000
한국,2019,의사,127258.0,korea,37.00000000,127.50000000
한국,2019,약사,38941.0,korea,37.00000000,127.50000000
한국,2019,치과의사,26486.0,korea,37.00000000,127.50000000
한국,2019,간호사,410694.0,korea,37.00000000,127.50000000
일본,1998,의사,238771.0,japan,36.00000000,138.00000000
일본,1998,약사,130259.0,japan,36.00000000,138.00000000
일본,1998,치과의사,85671.0,japan,36.00000000,138.00000000
일본,2000,의사,245315.0,japan,36.00000000,138.00000000
일본,2000,약사,142910.0,japan,36.00000000,138.00000000
일본,2000,치과의사,88416.0,japan,36.00000000,138.00000000
일본,2002,의사,251889.0,japan,36.00000000,138.00000000
일본,2002,약사,154428.0,japan,36.00000000,138.00000000
일본,2002,치과의사,90510.0,japan,36.00000000,138.00000000
일본,2002,간호사,1074629.0,japan,36.00000000,138.00000000
일본,2004,의사,259336.0,japan,36.00000000,138.00000000
일본,2004,약사,164397.0,japan,36.00000000,138.00000000
일본,2004,치과의사,92704.0,japan,36.00000000,138.00000000
일본,2004,간호사,1122779.0,japan,36.00000000,138.00000000
일본,2006,의사,266431.0,japan,36.00000000,138.00000000
일본,2006,약사,174218.0,japan,36.00000000,138.00000000
일본,2006,치과의사,94608.0,japan,36.00000000,138.00000000
일본,2006,간호사,1168833.0,japan,36.00000000,138.00000000
일본,2008,의사,274992.0,japan,36.00000000,138.00000000
일본,2008,약사,186052.0,japan,36.00000000,138.00000000
일본,2008,치과의사,96690.0,japan,36.00000000,138.00000000
일본,2008,간호사,1227111.0,japan,36.00000000,138.00000000
일본,2010,의사,283548.0,japan,36.00000000,138.00000000
