국가별,항목,데이터값,연도,국가영문
한국,경상(GDP 대비%),3.89759398,2000,South Korea
한국,공공(경상보건비 대비%),50.32753754,2000,South Korea
한국,본인부담(경상보건비 대비%),43.63845444,2000,South Korea
한국,1인당 보건지출(US$),473.98675537,2000,South Korea
한국,1인당 보건지출(PPP)(US$),717.38903809,2000,South Korea
한국,외부보건비(경상보건비 대비%),0.0,2000,South Korea
일본,경상(GDP 대비%),7.15091324,2000,Japan
일본,공공(경상보건비 대비%),80.43053436,2000,Japan
일본,본인부담(경상보건비 대비%),15.91636372,2000,Japan
일본,1인당 보건지출(US$),2740.67480469,2000,Japan
일본,1인당 보건지출(PPP)(US$),1908.95996094,2000,Japan
일본,외부보건비(경상보건비 대비%),0.0,2000,Japan
캐나다,경상(GDP 대비%),8.27567863,2000,Canada
캐나다,공공(경상보건비 대비%),72.85163879,2000,Canada
캐나다,본인부담(경상보건비 대비%),16.60520935,2000,Canada
캐나다,1인당 보건지출(US$),2007.88085938,2000,Canada
캐나다,1인당 보건지출(PPP)(US$),2429.59179688,2000,Canada
캐나다,외부보건비(경상보건비 대비%),0.0,2000,Canada
오스트리아,경상(GDP 대비%),9.20371437,2000,Austria
오스트리아,공공(경상보건비 대비%),74.16340637,2000,Austria
오스트리아,본인부담(경상보건비 대비%),17.82221985,2000,Austria
오스트리아,1인당 보건지출(US$),2269.12646484,2000,Austria
오스트리아,1인당 보건지출(PPP)(US$),2707.86816406,2000,Austria
오스트리아,외부보건비(경상보건비 대비%),0.0,2000,Austria
벨기에,경상(GDP 대비%),7.9991765,2000,Belgium
벨기에,공공(경상보건비 대비%),74.53091431,2000,Belgium
벨기에,본인부담(경상보건비 대비%),20.22722816,2000,Belgium
벨기에,1인당 보건지출(US$),1849.91601563,2000,Belgium
벨기에,1인당 보건지출(PPP)(US$),2226.01098633,2000,Belgium
벨기에,외부보건비(경상보건비 대비%),0.0,2000,Belgium
체코,경상(GDP 대비%),5.71755314,2000,Czech Republic
체코,공공(경상보건비 대비%),88.70406342,2000,Czech Republic
체코,본인부담(경상보건비 대비%),10.1975069,2000,Czech Republic
체코,1인당 보건지출(US$),342.92105103,2000,Czech Republic
체코,1인당 보건지출(PPP)(US$),923.64324951,2000,Czech Republic
체코,외부보건비(경상보건비 대비%),0.0,2000,Czech Republic
덴마크,경상(GDP 대비%),8.10438347,2000,Denmark
덴마크,공공(경상보건비 대비%),83.10736084,2000,Denmark
덴마크,본인부담(경상보건비 대비%),15.35643196,2000,Denmark
덴마크,1인당 보건지출(US$),2496.04711914,2000,Denmark
덴마크,1인당 보건지출(PPP)(US$),2327.61767578,2000,Denmark
덴마크,외부보건비(경상보건비 대비%),0.0,2000,Denmark
에스토니아,경상(GDP 대비%),5.15698433,2000,Estonia
에스토니아,공공(경상보건비 대비%),76.06137085,2000,Estonia
에스토니아,본인부담(경상보건비 대비%),20.3646183,2000,Estonia
에스토니아,1인당 보건지출(US$),209.71313477,2000,Estonia
에스토니아,1인당 보건지출(PPP)(US$),485.08102417,2000,Estonia
에스토니아,외부보건비(경상보건비 대비%),0.01804261,2000,Estonia
핀란드,경상(GDP 대비%),7.09253168,2000,Finland
핀란드,공공(경상보건비 대비%),75.72886658,2000,Finland
핀란드,본인부담(경상보건비 대비%),21.62706375,2000,Finland
핀란드,1인당 보건지출(US$),1722.8326416,2000,Finland
핀란드,1인당 보건지출(PPP)(US$),1896.12402344,2000,Finland
핀란드,외부보건비(경상보건비 대비%),0.00604633,2000,Finland
프랑스,경상(GDP 대비%),9.58447742,2000,France
프랑스,공공(경상보건비 대비%),72.7290802,2000,France
프랑스,본인부담(경상보건비 대비%),7.27349663,2000,France
프랑스,1인당 보건지출(US$),2161.85302734,2000,France
프랑스,1인당 보건지출(PPP)(US$),2516.77026367,2000,France
프랑스,외부보건비(경상보건비 대비%),0.0,2000,France
독일,경상(GDP 대비%),9.8881979,2000,Germany
독일,공공(경상보건비 대비%),78.20436859,2000,Germany
독일,본인부담(경상보건비 대비%),12.28860092,2000,Germany
독일,1인당 보건지출(US$),2344.35473633,2000,Germany
독일,1인당 보건지출(PPP)(US$),2691.4387207,2000,Germany
독일,외부보건비(경상보건비 대비%),0.0,2000,Germany
그리스,경상(GDP 대비%),7.24332571,2000,Greece
그리스,공공(경상보건비 대비%),61.6264267,2000,Greece
그리스,본인부담(경상보건비 대비%),36.2721138,2000,Greece
그리스,1인당 보건지출(US$),885.41040039,2000,Greece
그리스,1인당 보건지출(PPP)(US$),1417.7779541,2000,Greece
그리스,외부보건비(경상보건비 대비%),0.0,2000,Greece
헝가리,경상(GDP 대비%),6.77804375,2000,Hungary
헝가리,공공(경상보건비 대비%),68.84632111,2000,Hungary
헝가리,본인부담(경상보건비 대비%),27.36366653,2000,Hungary
헝가리,1인당 보건지출(US$),313.10858154,2000,Hungary
헝가리,1인당 보건지출(PPP)(US$),802.87536621,2000,Hungary
헝가리,외부보건비(경상보건비 대비%),0.0,2000,Hungary
아이슬란드,경상(GDP 대비%),8.95112514,2000,Iceland
아이슬란드,공공(경상보건비 대비%),80.57292938,2000,Iceland
아이슬란드,본인부담(경상보건비 대비%),19.42706871,2000,Iceland
아이슬란드,1인당 보건지출(US$),2873.84814453,2000,Iceland
아이슬란드,1인당 보건지출(PPP)(US$),2666.73071289,2000,Iceland
아이슬란드,외부보건비(경상보건비 대비%),0.0,2000,Iceland
아일랜드,경상(GDP 대비%),5.90528059,2000,Ireland
아일랜드,공공(경상보건비 대비%),77.51496124,2000,Ireland
아일랜드,본인부담(경상보건비 대비%),12.11709023,2000,Ireland
아일랜드,1인당 보건지출(US$),1564.83740234,2000,Ireland
아일랜드,1인당 보건지출(PPP)(US$),1795.53442383,2000,Ireland
아일랜드,외부보건비(경상보건비 대비%),0.0,2000,Ireland
이탈리아,경상(GDP 대비%),7.56665564,2000,Italy
이탈리아,공공(경상보건비 대비%),72.63814545,2000,Italy
이탈리아,본인부담(경상보건비 대비%),26.46448326,2000,Italy
이탈리아,1인당 보건지출(US$),1524.23962402,2000,Italy
이탈리아,1인당 보건지출(PPP)(US$),2049.43066406,2000,Italy
이탈리아,외부보건비(경상보건비 대비%),0.0,2000,Italy
라트비아,경상(GDP 대비%),5.45028639,2000,Latvia
라트비아,공공(경상보건비 대비%),50.75323105,2000,Latvia
라트비아,본인부담(경상보건비 대비%),47.65911484,2000,Latvia
라트비아,1인당 보건지출(US$),181.57072449,2000,Latvia
라트비아,1인당 보건지출(PPP)(US$),434.38009644,2000,Latvia
라트비아,외부보건비(경상보건비 대비%),0.0,2000,Latvia
룩셈부르크,경상(GDP 대비%),5.90136147,2000,Luxembourg
룩셈부르크,공공(경상보건비 대비%),83.24607849,2000,Luxembourg
룩셈부르크,본인부담(경상보건비 대비%),14.25088024,2000,Luxembourg
룩셈부르크,1인당 보건지출(US$),2901.19995117,2000,Luxembourg
룩셈부르크,1인당 보건지출(PPP)(US$),3286.67773438,2000,Luxembourg
룩셈부르크,외부보건비(경상보건비 대비%),0.0,2000,Luxembourg
네덜란드,경상(GDP 대비%),7.7069602,2000,Netherlands
네덜란드,공공(경상보건비 대비%),69.03778076,2000,Netherlands
네덜란드,본인부담(경상보건비 대비%),11.0316906,2000,Netherlands
네덜란드,1인당 보건지출(US$),2028.18139648,2000,Netherlands
네덜란드,1인당 보건지출(PPP)(US$),2466.14526367,2000,Netherlands
네덜란드,외부보건비(경상보건비 대비%),0.0,2000,Netherlands
노르웨이,경상(GDP 대비%),7.71215487,2000,Norway
노르웨이,공공(경상보건비 대비%),81.68249512,2000,Norway
노르웨이,본인부담(경상보건비 대비%),17.94157219,2000,Norway
노르웨이,1인당 보건지출(US$),2948.93164063,2000,Norway
노르웨이,1인당 보건지출(PPP)(US$),2857.60083008,2000,Norway
노르웨이,외부보건비(경상보건비 대비%),0.0,2000,Norway
포르투갈,경상(GDP 대비%),8.37818336,2000,Portugal
포르투갈,공공(경상보건비 대비%),70.44559479,2000,Portugal
포르투갈,본인부담(경상보건비 대비%),24.98234558,2000,Portugal
포르투갈,1인당 보건지출(US$),969.55218506,2000,Portugal
포르투갈,1인당 보건지출(PPP)(US$),1588.42456055,2000,Portugal
포르투갈,외부보건비(경상보건비 대비%),0.02230732,2000,Portugal
슬로바키아,경상(GDP 대비%),5.30256939,2000,Slovakia
슬로바키아,공공(경상보건비 대비%),88.44744873,2000,Slovakia
슬로바키아,본인부담(경상보건비 대비%),10.83896637,2000,Slovakia
슬로바키아,1인당 보건지출(US$),203.50627136,2000,Slovakia
슬로바키아,1인당 보건지출(PPP)(US$),602.36566162,2000,Slovakia
슬로바키아,외부보건비(경상보건비 대비%),0.0,2000,Slovakia
슬로베니아,경상(GDP 대비%),7.80406952,2000,Slovenia
슬로베니아,공공(경상보건비 대비%),71.39096069,2000,Slovenia
슬로베니아,본인부담(경상보건비 대비%),13.2732687,2000,Slovenia
슬로베니아,1인당 보건지출(US$),796.64703369,2000,Slovenia
슬로베니아,1인당 보건지출(PPP)(US$),1405.84851074,2000,Slovenia
슬로베니아,외부보건비(경상보건비 대비%),0.0,2000,Slovenia
스페인,경상(GDP 대비%),6.79921818,2000,Spain
스페인,공공(경상보건비 대비%),71.63855743,2000,Spain
스페인,본인부담(경상보건비 대비%),24.32431793,2000,Spain
스페인,1인당 보건지출(US$),1005.28399658,2000,Spain
