,대륙,국가,항목구분,연도,서비스비용(백만$)
0,아시아,한국,보건 당기 지출,1998,14072.82
1,아시아,한국,보건 당기 지출,1999,19137.28
2,아시아,한국,보건 당기 지출,2000,22453.91
3,아시아,한국,보건 당기 지출,2001,24248.39
4,아시아,한국,보건 당기 지출,2002,26133.57
5,아시아,한국,보건 당기 지출,2003,31081.21
6,아시아,한국,보건 당기 지출,2004,34860.39
7,아시아,한국,보건 당기 지출,2005,43163.18
8,아시아,한국,보건 당기 지출,2006,52054.99
9,아시아,한국,보건 당기 지출,2007,59984.42
10,아시아,한국,보건 당기 지출,2008,56477.95
11,아시아,한국,보건 당기 지출,2009,54606.28
12,아시아,한국,보건 당기 지출,2010,67701.99
13,아시아,한국,보건 당기 지출,2011,75319.73
14,아시아,한국,보건 당기 지출,2012,78381.04
15,아시아,한국,보건 당기 지출,2013,85644.21
16,아시아,한국,보건 당기 지출,2014,96150.49
17,아시아,한국,보건 당기 지출,2015,97561.49
18,아시아,한국,보건 당기 지출,2016,103811.22
19,아시아,한국,보건 당기 지출,2017,115057.54
20,아시아,한국,보건 당기 지출,2018,129695.78
21,아시아,한국,보건 당기 지출,2019,134355.76
22,아시아,한국,치료 및 재활 치료,1998,9295.83
23,아시아,한국,치료 및 재활 치료,1999,12858.8
24,아시아,한국,치료 및 재활 치료,2000,14615.33
25,아시아,한국,치료 및 재활 치료,2001,15328.9
26,아시아,한국,치료 및 재활 치료,2002,16212.66
27,아시아,한국,치료 및 재활 치료,2003,18953.66
28,아시아,한국,치료 및 재활 치료,2004,21230.93
29,아시아,한국,치료 및 재활 치료,2005,26306.25
30,아시아,한국,치료 및 재활 치료,2006,31228.79
31,아시아,한국,치료 및 재활 치료,2007,35706.72
32,아시아,한국,치료 및 재활 치료,2008,33572.86
33,아시아,한국,치료 및 재활 치료,2009,31207.28
34,아시아,한국,치료 및 재활 치료,2010,38064.28
35,아시아,한국,치료 및 재활 치료,2011,42368.62
36,아시아,한국,치료 및 재활 치료,2012,44480.38
37,아시아,한국,치료 및 재활 치료,2013,48772.47
38,아시아,한국,치료 및 재활 치료,2014,54472.73
39,아시아,한국,치료 및 재활 치료,2015,55018.81
40,아시아,한국,치료 및 재활 치료,2016,58552.02
41,아시아,한국,치료 및 재활 치료,2017,64360.84
42,아시아,한국,치료 및 재활 치료,2018,73148.39
43,아시아,한국,치료 및 재활 치료,2019,75965.92
44,아시아,한국,장기 치료,1998,31.33
45,아시아,한국,장기 치료,1999,60.51
46,아시아,한국,장기 치료,2000,77.45
47,아시아,한국,장기 치료,2001,142.45
48,아시아,한국,장기 치료,2002,163.61
49,아시아,한국,장기 치료,2003,242.82
50,아시아,한국,장기 치료,2004,390.73
51,아시아,한국,장기 치료,2005,742.23
52,아시아,한국,장기 치료,2006,1349.58
53,아시아,한국,장기 치료,2007,2244.22
54,아시아,한국,장기 치료,2008,2744.55
55,아시아,한국,장기 치료,2009,3803.33
56,아시아,한국,장기 치료,2010,5588.25
57,아시아,한국,장기 치료,2011,6816.03
58,아시아,한국,장기 치료,2012,7431.67
59,아시아,한국,장기 치료,2013,9041.3
60,아시아,한국,장기 치료,2014,10916.79
61,아시아,한국,장기 치료,2015,11461.25
62,아시아,한국,장기 치료,2016,12521.86
63,아시아,한국,장기 치료,2017,14841.09
64,아시아,한국,장기 치료,2018,17156.36
65,아시아,한국,장기 치료,2019,18002.48
66,아시아,한국,보건 보조 서비스,1998,36.6
67,아시아,한국,보건 보조 서비스,1999,56.29
68,아시아,한국,보건 보조 서비스,2000,65.7
69,아시아,한국,보건 보조 서비스,2001,458.1
70,아시아,한국,보건 보조 서비스,2002,470.95
71,아시아,한국,보건 보조 서비스,2003,495.21
72,아시아,한국,보건 보조 서비스,2004,544.21
73,아시아,한국,보건 보조 서비스,2005,661.44
74,아시아,한국,보건 보조 서비스,2006,723.56
75,아시아,한국,보건 보조 서비스,2007,889.11
76,아시아,한국,보건 보조 서비스,2008,683.8
77,아시아,한국,보건 보조 서비스,2009,818.53
78,아시아,한국,보건 보조 서비스,2010,1081.93
79,아시아,한국,보건 보조 서비스,2011,1083.25
80,아시아,한국,보건 보조 서비스,2012,1112.14
81,아시아,한국,보건 보조 서비스,2013,1197.69
82,아시아,한국,보건 보조 서비스,2014,1265.35
83,아시아,한국,보건 보조 서비스,2015,1361.92
84,아시아,한국,보건 보조 서비스,2016,1490.78
85,아시아,한국,보건 보조 서비스,2017,1717.08
86,아시아,한국,보건 보조 서비스,2018,2013.51
87,아시아,한국,보건 보조 서비스,2019,2150.68
88,아시아,한국,의료품,1998,3525.44
89,아시아,한국,의료품,1999,4799.05
90,아시아,한국,의료품,2000,6017.53
91,아시아,한국,의료품,2001,6779.15
92,아시아,한국,의료품,2002,7555.58
93,아시아,한국,의료품,2003,9357.27
94,아시아,한국,의료품,2004,10470.27
95,아시아,한국,의료품,2005,12611.29
96,아시아,한국,의료품,2006,15253.85
97,아시아,한국,의료품,2007,17185.78
98,아시아,한국,의료품,2008,15649.18
99,아시아,한국,의료품,2009,14728.72
100,아시아,한국,의료품,2010,17975.84
101,아시아,한국,의료품,2011,19699.71
102,아시아,한국,의료품,2012,19662.39
103,아시아,한국,의료품,2013,20558.02
104,아시아,한국,의료품,2014,22475.87
105,아시아,한국,의료품,2015,22458.32
106,아시아,한국,의료품,2016,23924.56
107,아시아,한국,의료품,2017,25721.88
108,아시아,한국,의료품,2018,28446.79
109,아시아,한국,의료품,2019,28806.24
110,아시아,한국,예방치료,1998,298.71
111,아시아,한국,예방치료,1999,363.65
112,아시아,한국,예방치료,2000,476.39
113,아시아,한국,예방치료,2001,445.55
114,아시아,한국,예방치료,2002,531.57
115,아시아,한국,예방치료,2003,661.84
116,아시아,한국,예방치료,2004,717.0
117,아시아,한국,예방치료,2005,1035.19
118,아시아,한국,예방치료,2006,1378.96
119,아시아,한국,예방치료,2007,1629.25
