대륙,국가,연도,GDP(10억$),복지비용(10억$)
아시아,한국,1998,384.0,1804.8
아시아,한국,1999,497.2,2784.32
아시아,한국,2000,576.4,2536.1600000000003
아시아,한국,2001,547.7,2628.96
아시아,한국,2002,627.2,2947.84
아시아,한국,2003,702.6,3442.74
아시아,한국,2004,793.6,4364.8
아시아,한국,2005,934.7,5514.7300000000005
아시아,한국,2006,1052.4,7051.080000000001
아시아,한국,2007,1172.7,7974.36
아시아,한국,2008,1046.8,7641.639999999999
아시아,한국,2009,944.3,7648.829999999999
아시아,한국,2010,1143.9,9036.81
아시아,한국,2011,1253.4,9776.52
아시아,한국,2012,1278.0,10607.4
아시아,한국,2013,1370.6,12061.28
아시아,한국,2014,1484.0,13652.8
아시아,한국,2015,1465.3,14066.88
아시아,한국,2016,1500.0,14850.0
아시아,한국,2017,1623.3,16395.329999999998
아시아,한국,2018,1725.2,18632.160000000003
아시아,한국,2019,1651.0,20142.2
아시아,일본,1998,4032.5,57664.75
아시아,일본,1999,4562.1,68887.71
아시아,일본,2000,4887.5,75267.5
아시아,일본,2001,4303.5,69286.35
아시아,일본,2002,4115.1,67487.64
아시아,일본,2003,4445.7,73798.62000000001
아시아,일본,2004,4815.1,80893.68000000001
아시아,일본,2005,4755.4,81317.34
아시아,일본,2006,4530.4,77922.87999999999
아시아,일본,2007,4515.3,79469.28000000001
아시아,일본,2008,5037.9,93704.94
아시아,일본,2009,5231.4,108813.12
아시아,일본,2010,5700.1,120842.12
아시아,일본,2011,6157.5,136696.5
아시아,일본,2012,6203.2,137090.72
아시아,일본,2013,5155.7,113940.97
아시아,일본,2014,4850.4,105738.72
아시아,일본,2015,4389.5,97446.9
아시아,일본,2016,4922.5,109771.75
아시아,일본,2017,4866.9,108531.87
북아메리카,캐나다,1998,634.0,10778.0
북아메리카,캐나다,1999,678.4,10854.4
북아메리카,캐나다,2000,744.8,11693.36
북아메리카,캐나다,2001,739.0,11897.9
북아메리카,캐나다,2002,760.6,12321.72
북아메리카,캐나다,2003,895.5,14507.1
북아메리카,캐나다,2004,1026.7,16632.54
북아메리카,캐나다,2005,1173.1,18886.91
북아메리카,캐나다,2006,1319.3,21504.59
북아메리카,캐나다,2007,1468.8,23941.44
북아메리카,캐나다,2008,1553.0,25313.9
북아메리카,캐나다,2009,1374.6,24880.26
북아메리카,캐나다,2010,1617.3,28464.480000000003
북아메리카,캐나다,2011,1793.3,30665.43
북아메리카,캐나다,2012,1828.4,31448.48
북아메리카,캐나다,2013,1846.6,31392.2
북아메리카,캐나다,2014,1805.7,30516.33
북아메리카,캐나다,2015,1556.5,27861.35
북아메리카,캐나다,2016,1528.0,27962.4
북아메리카,캐나다,2017,1649.3,29687.4
북아메리카,캐나다,2018,1721.9,30994.2
유럽,오스트리아,1998,218.3,5588.4800000000005
유럽,오스트리아,1999,217.2,5647.2
유럽,오스트리아,2000,196.8,5057.76
유럽,오스트리아,2001,197.3,5090.34
유럽,오스트리아,2002,213.4,5548.400000000001
유럽,오스트리아,2003,261.7,6961.22
