"국가별","시점","항목",데이터
"아시아","1998","의사",
"아시아","1998","- 천명당 의사",
"아시아","1998","약사",
"아시아","1998","- 천명당 약사",
"아시아","1998","치과의사",
"아시아","1998","- 천명당 치과의사",
"아시아","1998","간호사",
"아시아","1998","- 천명당 간호사",
"아시아","1999","의사",
"아시아","1999","- 천명당 의사",
"아시아","1999","약사",
"아시아","1999","- 천명당 약사",
"아시아","1999","치과의사",
"아시아","1999","- 천명당 치과의사",
"아시아","1999","간호사",
"아시아","1999","- 천명당 간호사",
"아시아","2000","의사",
"아시아","2000","- 천명당 의사",
"아시아","2000","약사",
"아시아","2000","- 천명당 약사",
"아시아","2000","치과의사",
"아시아","2000","- 천명당 치과의사",
"아시아","2000","간호사",
"아시아","2000","- 천명당 간호사",
"아시아","2001","의사",
"아시아","2001","- 천명당 의사",
"아시아","2001","약사",
"아시아","2001","- 천명당 약사",
"아시아","2001","치과의사",
"아시아","2001","- 천명당 치과의사",
"아시아","2001","간호사",
"아시아","2001","- 천명당 간호사",
"아시아","2002","의사",
"아시아","2002","- 천명당 의사",
"아시아","2002","약사",
"아시아","2002","- 천명당 약사",
"아시아","2002","치과의사",
"아시아","2002","- 천명당 치과의사",
"아시아","2002","간호사",
"아시아","2002","- 천명당 간호사",
"아시아","2003","의사",
"아시아","2003","- 천명당 의사",
"아시아","2003","약사",
"아시아","2003","- 천명당 약사",
"아시아","2003","치과의사",
"아시아","2003","- 천명당 치과의사",
"아시아","2003","간호사",
"아시아","2003","- 천명당 간호사",
"아시아","2004","의사",
"아시아","2004","- 천명당 의사",
"아시아","2004","약사",
"아시아","2004","- 천명당 약사",
"아시아","2004","치과의사",
"아시아","2004","- 천명당 치과의사",
"아시아","2004","간호사",
"아시아","2004","- 천명당 간호사",
"아시아","2005","의사",
"아시아","2005","- 천명당 의사",
"아시아","2005","약사",
"아시아","2005","- 천명당 약사",
"아시아","2005","치과의사",
"아시아","2005","- 천명당 치과의사",
"아시아","2005","간호사",
"아시아","2005","- 천명당 간호사",
"아시아","2006","의사",
"아시아","2006","- 천명당 의사",
"아시아","2006","약사",
"아시아","2006","- 천명당 약사",
"아시아","2006","치과의사",
"아시아","2006","- 천명당 치과의사",
"아시아","2006","간호사",
"아시아","2006","- 천명당 간호사",
"아시아","2007","의사",
"아시아","2007","- 천명당 의사",
"아시아","2007","약사",
"아시아","2007","- 천명당 약사",
"아시아","2007","치과의사",
"아시아","2007","- 천명당 치과의사",
"아시아","2007","간호사",
"아시아","2007","- 천명당 간호사",
"아시아","2008","의사",
"아시아","2008","- 천명당 의사",
"아시아","2008","약사",
"아시아","2008","- 천명당 약사",
"아시아","2008","치과의사",
"아시아","2008","- 천명당 치과의사",
"아시아","2008","간호사",
"아시아","2008","- 천명당 간호사",
"아시아","2009","의사",
"아시아","2009","- 천명당 의사",
"아시아","2009","약사",
"아시아","2009","- 천명당 약사",
"아시아","2009","치과의사",
"아시아","2009","- 천명당 치과의사",
"아시아","2009","간호사",
"아시아","2009","- 천명당 간호사",
"아시아","2010","의사",
"아시아","2010","- 천명당 의사",
"아시아","2010","약사",
"아시아","2010","- 천명당 약사",
"아시아","2010","치과의사",
"아시아","2010","- 천명당 치과의사",
"아시아","2010","간호사",
